PlayerID,FullName,Team,Home,OPS,Date
655996,Cristian Santana,Tomateros de Culiacan,False,1.163,2024-10-16
677605,Luis Verdugo,Tomateros de Culiacan,False,0.0,2024-10-16
687019,Andrés Alvarez,Tomateros de Culiacan,False,0.647,2024-10-16
596105,Dwight Smith Jr.,Tomateros de Culiacan,False,1.786,2024-10-16
677690,Diosbel Arias,Tomateros de Culiacan,False,0.866,2024-10-16
606019,Esteban Quiroz,Tomateros de Culiacan,False,0.837,2024-10-16
802560,Ichiro Cano,Tomateros de Culiacan,False,0.0,2024-10-16
807581,Randy Delgado,Algodoneros de Guasave,True,0.8,2024-10-16
674504,Francisco Hernandez,Algodoneros de Guasave,True,0.0,2024-10-16
687045,Justin Wylie,Algodoneros de Guasave,True,0.196,2024-10-16
674706,Alan Lopez,Algodoneros de Guasave,True,0.0,2024-10-16
660840,Jose Lizarraga,Algodoneros de Guasave,True,0.0,2024-10-16
660436,Yadir Drake,Algodoneros de Guasave,True,0.732,2024-10-16
510548,Jose Heberto Felix,Algodoneros de Guasave,True,0.666,2024-10-16
656029,Alexis Wilson,Algodoneros de Guasave,True,0.542,2024-10-16
657733,Roberto Ramos,Algodoneros de Guasave,True,0.713,2024-10-16
477399,Jesse Castillo,Algodoneros de Guasave,True,1.063,2024-10-16
652669,Angel Erro,Algodoneros de Guasave,True,1.238,2024-10-16
592312,Jorge Flores,Algodoneros de Guasave,True,0.561,2024-10-16
685694,Keven Lamas,Algodoneros de Guasave,True,0.0,2024-10-16
682183,Drew Avans,Algodoneros de Guasave,True,0.61,2024-10-16
540204,Ramon Rios,Tomateros de Culiacan,False,0.286,2024-10-13
652999,Jesus Fabela,Tomateros de Culiacan,False,0.619,2024-10-13
455378,Ali Solis,Tomateros de Culiacan,False,0.334,2024-10-13
519068,Efren Navarro,Tomateros de Culiacan,False,0.555,2024-10-13
657675,Rudy Martin,Tomateros de Culiacan,False,0.958,2024-10-13
829259,Jose Cervantes,Tomateros de Culiacan,False,0.0,2024-10-13
655996,Cristian Santana,Tomateros de Culiacan,False,1.301,2024-10-13
687019,Andrés Alvarez,Tomateros de Culiacan,False,0.555,2024-10-13
677690,Diosbel Arias,Tomateros de Culiacan,False,1.143,2024-10-13
606019,Esteban Quiroz,Tomateros de Culiacan,False,0.7,2024-10-13
807581,Randy Delgado,Algodoneros de Guasave,True,1.0,2024-10-13
674504,Francisco Hernandez,Algodoneros de Guasave,True,0.0,2024-10-13
687045,Justin Wylie,Algodoneros de Guasave,True,0.393,2024-10-13
674706,Alan Lopez,Algodoneros de Guasave,True,0.0,2024-10-13
660840,Jose Lizarraga,Algodoneros de Guasave,True,0.0,2024-10-13
660436,Yadir Drake,Algodoneros de Guasave,True,1.0,2024-10-13
510548,Jose Heberto Felix,Algodoneros de Guasave,True,0.666,2024-10-13
656029,Alexis Wilson,Algodoneros de Guasave,True,0.0,2024-10-13
657733,Roberto Ramos,Algodoneros de Guasave,True,0.0,2024-10-13
477399,Jesse Castillo,Algodoneros de Guasave,True,1.55,2024-10-13
700032,Victor Labrada,Algodoneros de Guasave,True,0.5,2024-10-13
652669,Angel Erro,Algodoneros de Guasave,True,0.0,2024-10-13
592312,Jorge Flores,Algodoneros de Guasave,True,0.661,2024-10-13
685694,Keven Lamas,Algodoneros de Guasave,True,0.0,2024-10-13
682183,Drew Avans,Algodoneros de Guasave,True,0.55,2024-10-13
664583,Beder Gutierrez,Caneros de los Mochis,False,0.0,2024-10-19
661270,Roel Santos,Caneros de los Mochis,False,0.648,2024-10-19
587275,Alan Espinoza,Caneros de los Mochis,False,0.527,2024-10-19
596107,Eric Filia,Caneros de los Mochis,False,0.629,2024-10-19
665455,Isaac Rodriguez,Caneros de los Mochis,False,1.078,2024-10-19
630111,Yasmany Tomás,Caneros de los Mochis,False,0.392,2024-10-19
681909,Justin Dean,Caneros de los Mochis,False,0.444,2024-10-19
668616,Marco Jaime,Caneros de los Mochis,False,0.689,2024-10-19
685474,Felix Stevens,Caneros de los Mochis,False,0.526,2024-10-19
616613,Rodolfo Amador,Caneros de los Mochis,False,0.695,2024-10-19
654118,Eric Meza,Caneros de los Mochis,False,5.0,2024-10-19
677977,Edgar Robles,Caneros de los Mochis,False,0.0,2024-10-19
703060,Alejandro Urias,Caneros de los Mochis,False,0.666,2024-10-19
540204,Ramon Rios,Tomateros de Culiacan,True,0.554,2024-10-19
652999,Jesus Fabela,Tomateros de Culiacan,True,0.45,2024-10-19
695000,Poncho Ruiz,Tomateros de Culiacan,True,0.73,2024-10-19
455378,Ali Solis,Tomateros de Culiacan,True,0.457,2024-10-19
519068,Efren Navarro,Tomateros de Culiacan,True,0.607,2024-10-19
657675,Rudy Martin,Tomateros de Culiacan,True,0.567,2024-10-19
608841,Joey Meneses,Tomateros de Culiacan,True,0.222,2024-10-19
655996,Cristian Santana,Tomateros de Culiacan,True,1.33,2024-10-19
677605,Luis Verdugo,Tomateros de Culiacan,True,0.8,2024-10-19
687019,Andrés Alvarez,Tomateros de Culiacan,True,0.727,2024-10-19
596105,Dwight Smith Jr.,Tomateros de Culiacan,True,1.213,2024-10-19
