avg,slg,obp,ab,r,h,hbp,h2b,h3b,hr,rbi,bb,so,pk,team_name,date,ops
.263,0.367,0.317,29,0,4,0,0,0,0,0,0,9,1,JAL,2024-10-26,0.6839999999999999
.298,0.445,0.372,32,5,9,1,0,0,2,4,0,6,0,CUL,2024-10-26,0.817
.227,0.316,0.327,40,8,11,0,0,0,1,7,1,12,0,MOC,2024-10-19,0.643
.281,0.426,0.346,42,6,11,0,2,0,2,6,0,2,0,CUL,2024-10-19,0.772
.226,0.329,0.31,33,3,6,0,1,0,0,2,0,7,0,HER,2024-11-02,0.639
.285,0.437,0.363,27,7,8,1,0,0,1,7,0,6,0,CUL,2024-11-02,0.8
.182,0.242,0.27,33,0,6,0,2,0,0,0,0,10,0,GSV,2024-10-12,0.512
.207,0.31,0.226,29,1,6,0,3,0,0,1,0,3,0,CUL,2024-10-12,0.536
.216,0.308,0.321,33,2,7,0,0,0,2,2,0,8,0,MOC,2024-10-18,0.629
.285,0.42,0.352,34,5,10,1,2,0,0,5,0,7,0,CUL,2024-10-18,0.772
.261,0.376,0.351,44,9,14,0,1,0,0,9,1,6,0,MOC,2024-10-30,0.727
.229,0.311,0.317,40,10,13,0,1,1,0,9,3,9,1,MTY,2024-10-30,0.628
.267,0.389,0.355,39,10,14,1,5,0,1,10,0,4,0,MOC,2024-10-31,0.744
.227,0.307,0.313,30,1,6,1,1,0,0,1,0,8,0,MTY,2024-10-31,0.62
.248,0.308,0.323,41,7,16,0,1,1,1,6,0,6,0,MAZ,2024-11-08,0.631
.209,0.293,0.293,31,2,5,1,1,0,1,1,0,8,0,MTY,2024-11-08,0.586
.290,0.438,0.362,33,7,10,0,2,0,2,7,1,5,1,CUL,2024-10-23,0.8
.240,0.335,0.317,36,3,10,1,1,0,1,3,0,9,0,MTY,2024-10-23,0.652
.289,0.43,0.366,32,6,9,1,2,0,0,5,0,4,1,CUL,2024-10-24,0.796
.225,0.313,0.307,29,0,2,0,0,0,0,0,0,9,0,MTY,2024-10-24,0.62
.209,0.299,0.284,37,4,9,0,3,0,1,4,0,6,0,MXC,2024-10-13,0.583
.177,0.274,0.271,30,1,4,1,2,0,0,1,0,5,0,MTY,2024-10-13,0.545
.182,0.273,0.26,30,2,3,0,1,0,1,2,0,5,0,MXC,2024-10-15,0.533
.220,0.323,0.303,30,6,9,1,5,0,0,5,0,7,0,MTY,2024-10-15,0.626
.289,0.426,0.353,32,5,8,0,0,0,0,3,0,4,0,CUL,2024-10-22,0.7789999999999999
.235,0.329,0.309,34,3,13,1,2,0,1,2,0,6,0,MTY,2024-10-22,0.638
.210,0.312,0.298,25,6,9,0,4,0,0,5,0,5,0,MXC,2024-10-16,0.61
.215,0.306,0.294,17,0,3,0,0,0,0,0,0,6,0,MTY,2024-10-16,0.6
.206,0.284,0.283,35,3,7,1,0,1,0,2,2,9,0,MXC,2024-10-14,0.567
.196,0.278,0.278,35,1,8,1,2,0,0,1,0,7,0,MTY,2024-10-14,0.556
.255,0.379,0.347,39,7,14,0,3,0,0,7,0,5,0,MOC,2024-10-29,0.726
.221,0.304,0.303,28,1,4,0,1,0,0,1,0,5,0,MTY,2024-10-29,0.607
.251,0.361,0.345,31,2,6,0,1,0,1,2,1,7,0,GSV,2024-11-06,0.706
.221,0.318,0.306,28,0,2,1,0,0,0,0,0,5,0,HER,2024-11-06,0.624
.247,0.352,0.342,31,0,5,1,0,0,0,0,0,10,0,GSV,2024-11-07,0.694
.221,0.315,0.308,27,1,6,0,0,0,0,1,0,3,1,HER,2024-11-07,0.623
.238,0.32,0.339,32,3,8,1,1,0,0,3,0,6,0,OBR,2024-10-30,0.659
.243,0.361,0.325,34,2,8,0,1,0,0,2,0,9,0,HER,2024-10-30,0.6859999999999999
.254,0.363,0.346,31,2,9,1,2,0,0,2,0,5,0,GSV,2024-11-05,0.709
.228,0.329,0.312,26,4,7,1,1,0,1,4,0,4,0,HER,2024-11-05,0.641
.237,0.292,0.296,24,1,4,1,0,0,0,1,0,6,0,MAZ,2024-10-20,0.588
.227,0.309,0.299,20,2,3,0,1,0,1,2,0,9,0,HER,2024-10-20,0.608
.232,0.308,0.332,35,1,5,0,0,0,0,1,0,10,0,OBR,2024-10-31,0.64
.235,0.346,0.318,34,2,4,0,0,0,0,2,0,4,1,HER,2024-10-31,0.6639999999999999
.252,0.359,0.325,44,8,14,2,1,0,1,8,0,12,0,NAV,2024-10-22,0.6839999999999999
.247,0.355,0.332,42,7,11,0,3,0,2,7,2,9,0,HER,2024-10-22,0.687
.245,0.353,0.314,33,2,6,0,1,0,1,2,1,8,0,NAV,2024-10-23,0.667
.249,0.353,0.334,30,3,8,0,2,0,0,3,1,2,0,HER,2024-10-23,0.687
.239,0.338,0.304,32,1,6,0,0,0,0,1,0,7,0,NAV,2024-10-24,0.642
.246,0.37,0.332,29,5,6,0,1,0,3,5,0,6,0,HER,2024-10-24,0.702
.237,0.322,0.342,30,0,4,1,1,0,0,0,0,7,0,OBR,2024-10-29,0.664
.244,0.368,0.325,27,3,8,0,1,0,0,3,0,5,0,HER,2024-10-29,0.6930000000000001
.156,0.156,0.25,32,2,5,0,0,0,0,2,0,8,0,OBR,2024-10-11,0.406
.344,0.438,0.382,32,4,11,0,3,0,0,4,0,6,0,HER,2024-10-11,0.8200000000000001
.234,0.294,0.293,29,4,6,1,0,0,1,4,0,6,0,MAZ,2024-10-20,0.587
.245,0.335,0.326,25,5,10,0,1,0,1,4,2,1,0,HER,2024-10-20,0.661
.246,0.308,0.301,35,3,9,0,1,0,0,3,0,6,0,MAZ,2024-10-19,0.609
.235,0.305,0.313,33,4,9,1,2,0,0,4,0,1,0,HER,2024-10-19,0.618
.247,0.374,0.341,35,3,8,0,1,0,1,3,0,7,0,MOC,2024-10-27,0.7150000000000001
.242,0.324,0.308,33,1,8,0,2,0,0,1,0,12,0,NAV,2024-10-27,0.632
.219,0.29,0.306,26,4,5,2,0,0,0,4,0,6,1,MTY,2024-11-03,0.596
.235,0.315,0.308,26,0,6,0,1,0,0,0,0,6,0,NAV,2024-11-03,0.623
.220,0.295,0.303,36,3,4,0,0,0,0,3,0,9,0,MTY,2024-11-02,0.598
.236,0.316,0.308,42,4,11,0,1,0,0,4,0,13,0,NAV,2024-11-02,0.624
.248,0.377,0.344,38,5,13,1,6,1,0,5,0,7,1,MOC,2024-10-26,0.721
.242,0.325,0.305,33,7,10,1,0,0,0,7,0,8,0,NAV,2024-10-26,0.63
.262,0.42,0.33,37,6,10,0,2,0,3,6,0,11,0,JAL,2024-11-08,0.75
.233,0.304,0.309,29,2,4,1,0,0,0,2,0,5,0,NAV,2024-11-08,0.613
.269,0.357,0.352,32,8,11,0,2,0,1,7,0,4,0,GSV,2024-10-20,0.709
.240,0.351,0.315,28,4,9,0,3,0,1,4,0,9,0,NAV,2024-10-20,0.6659999999999999
.214,0.284,0.302,23,0,2,0,1,0,0,0,0,7,0,MTY,2024-11-03,0.586
.232,0.309,0.307,21,1,3,0,0,0,0,1,0,9,0,NAV,2024-11-03,0.616
.239,0.36,0.338,41,11,16,2,4,0,1,11,0,7,0,MOC,2024-10-25,0.698
.237,0.327,0.297,33,2,7,0,0,0,0,2,0,8,0,NAV,2024-10-25,0.624
.257,0.349,0.347,22,1,3,1,1,1,0,1,0,10,0,GSV,2024-10-20,0.696
.240,0.35,0.313,21,3,5,0,2,0,0,2,0,8,0,NAV,2024-10-20,0.663
.212,0.242,0.386,33,6,7,2,1,0,0,5,1,6,0,MOC,2024-10-12,0.628
.172,0.172,0.273,29,3,5,2,0,0,0,3,0,12,0,NAV,2024-10-12,0.445
.256,0.333,0.351,36,5,10,0,2,0,2,5,0,4,0,GSV,2024-10-19,0.6839999999999999
.228,0.325,0.309,29,0,5,0,1,0,0,0,0,10,0,NAV,2024-10-19,0.634
.211,0.293,0.295,32,2,7,0,2,1,1,2,0,12,0,MTY,2024-11-07,0.588
.262,0.413,0.333,30,3,5,0,0,0,2,3,0,4,0,JAL,2024-11-07,0.746
.213,0.29,0.3,32,4,6,0,1,0,2,4,0,7,0,MTY,2024-11-05,0.59
.264,0.405,0.332,37,12,17,0,2,1,3,11,0,6,0,JAL,2024-11-05,0.7370000000000001
.255,0.377,0.355,34,7,9,0,2,0,2,7,0,2,0,GSV,2024-10-31,0.732
.260,0.396,0.322,31,9,8,0,2,1,1,8,0,6,0,JAL,2024-10-31,0.718
.210,0.286,0.297,31,2,5,1,1,0,0,2,0,9,0,MTY,2024-11-06,0.583
.265,0.415,0.335,33,11,10,1,6,1,1,11,0,7,0,JAL,2024-11-06,0.75
.254,0.369,0.354,38,8,12,1,3,0,0,8,2,2,0,GSV,2024-10-30,0.723
.261,0.391,0.32,28,1,4,0,1,0,0,1,0,3,0,JAL,2024-10-30,0.7110000000000001
.249,0.367,0.346,35,4,9,1,1,0,1,3,0,9,0,GSV,2024-10-29,0.713
.267,0.402,0.324,35,10,13,0,1,1,4,9,0,5,0,JAL,2024-10-29,0.726
.235,0.318,0.343,41,13,17,2,0,0,1,13,0,4,0,OBR,2024-10-24,0.661
.275,0.383,0.325,36,3,10,0,4,0,0,3,0,8,0,JAL,2024-10-24,0.708
.233,0.293,0.309,32,2,6,0,3,0,0,1,0,4,0,HER,2024-10-16,0.602
.280,0.406,0.348,39,10,16,1,2,0,2,10,0,8,0,JAL,2024-10-16,0.754
.209,0.294,0.327,34,7,10,4,2,0,0,7,0,6,0,OBR,2024-10-22,0.621
.272,0.377,0.328,38,6,12,0,2,0,0,5,1,5,0,JAL,2024-10-22,0.7050000000000001
.212,0.296,0.326,39,2,9,0,0,0,1,2,0,6,0,OBR,2024-10-23,0.622
.274,0.383,0.327,37,3,11,0,3,1,0,3,1,6,1,JAL,2024-10-23,0.71
.248,0.297,0.306,38,8,10,0,1,0,0,8,0,4,0,HER,2024-10-15,0.603
.231,0.327,0.296,38,6,12,1,3,0,0,6,0,11,0,JAL,2024-10-15,0.623
.378,0.432,0.467,37,7,14,2,2,0,0,6,0,6,0,MAZ,2024-10-12,0.899
.182,0.364,0.27,33,6,6,0,0,0,2,4,0,7,0,JAL,2024-10-12,0.634
.228,0.299,0.301,34,2,7,0,1,0,1,2,0,11,0,HER,2024-10-17,0.6
.287,0.431,0.355,31,6,10,1,2,1,1,6,0,4,0,JAL,2024-10-17,0.786
.222,0.319,0.307,35,3,8,0,3,0,1,3,0,7,0,HER,2024-11-08,0.626
.264,0.384,0.353,26,5,6,0,0,0,1,5,0,7,1,MOC,2024-11-08,0.737
.259,0.395,0.325,31,4,8,0,0,0,1,4,0,11,0,JAL,2024-11-02,0.72
.266,0.406,0.356,31,9,9,1,1,0,3,9,0,10,0,MOC,2024-11-02,0.762
.259,0.397,0.323,34,6,8,0,0,0,2,4,0,11,0,JAL,2024-11-01,0.72
.265,0.396,0.355,32,8,7,1,1,0,3,8,0,7,0,MOC,2024-11-01,0.751
