team,season,swingAndMisses,numP,totalSwings,FO,flyHits,BIP,GO,groundHits,lineOuts,lineHits,popOuts,popHits,HR,SF,K,PA,BB,AB,H,K%,BB%,HR/PA,BB/K,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,HR/FB%,BABIP,wOBA
CUL,2021,811,9682,4443,356,109,2004,707,273,92,262,198,7,38,25,363,2633,237,2315,651,13.8,9.0,0.0144322066084314,0.6528925619834711,8.4,18.3,23.2,48.9,17.7,10.2,0.0478541587542726,8.2,0.316,0.338
GSV,2021,913,9939,4547,305,75,1904,701,238,144,311,126,4,35,19,412,2620,275,2269,628,15.7,10.5,0.0133587786259541,0.6674757281553398,9.2,20.1,20.0,49.3,23.9,6.8,0.0522900763358778,9.2,0.322,0.343
HER,2021,1073,9576,4657,423,100,1927,639,224,95,283,158,5,32,19,457,2626,210,2333,612,17.4,8.0,0.0121858339680121,0.4595185995623632,11.2,23.0,27.1,44.8,19.6,8.5,0.094059405940594,6.1,0.311,0.318
JAL,2021,950,9865,4573,370,138,1939,672,250,105,239,161,4,57,28,414,2626,238,2298,631,15.8,9.1,0.0217060167555217,0.5748792270531401,9.6,20.8,26.2,47.6,17.7,8.5,0.067022086824067,11.2,0.309,0.348
MAZ,2021,849,9469,4397,337,111,1947,705,235,124,252,179,4,29,13,407,2607,224,2296,602,15.6,8.6,0.0111238971998465,0.5503685503685504,9.0,19.3,23.0,48.3,19.3,9.4,0.0701956271576524,6.5,0.306,0.317
MOC,2021,983,9643,4427,287,59,1838,670,199,151,303,166,3,35,19,462,2554,217,2248,564,18.1,8.5,0.0137039937353171,0.4696969696969697,10.2,22.2,18.8,47.3,24.7,9.2,0.09592795614722,10.1,0.299,0.312
MTY,2021,999,9476,4522,365,105,1839,673,201,97,257,139,2,44,16,433,2522,218,2221,565,17.2,8.6,0.0174464710547184,0.5034642032332564,10.5,22.1,25.6,47.5,19.2,7.7,0.0852498017446471,9.4,0.296,0.324
MXC,2021,1062,9828,4531,361,67,1840,630,200,129,248,191,14,35,21,452,2580,249,2234,529,17.5,9.7,0.0135658914728682,0.5508849557522124,10.8,23.4,23.3,45.1,20.5,11.1,0.0786821705426356,8.2,0.279,0.302
NAV,2021,1219,9493,4730,351,147,1822,570,252,93,217,190,2,63,18,510,2559,183,2279,618,19.9,7.2,0.0246189917936694,0.3588235294117647,12.8,25.8,27.3,45.1,17.0,10.5,0.1277842907385697,12.7,0.322,0.34
OBR,2021,986,10105,4454,313,107,1832,660,217,117,247,167,4,50,12,489,2597,225,2275,575,18.8,8.7,0.0192529842125529,0.4601226993865031,9.8,22.1,22.9,47.9,19.9,9.3,0.1016557566422795,11.9,0.3,0.325
