season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2021,673.0,Aguilas de Mexicali,650346,Ramon Hernandez,5,3B,10,3.0,1.0,0.0,0,0.429,0.0,1.0,0.0,1.0,38,3.8,0.0,20.0,0.0,,0.0,1.0,0.0,2,21,6,7,0,0,2,1,0,2,0,MXC,0,2,0,9,3,0.0,15.8,28.6,42.9,28.6,28.6,0.0,0.2,0.36
2021,673.0,Aguilas de Mexicali,592144,Wynton Bernard,7,LF,64,31.0,18.0,0.0,0,0.362,7.0,0.0,1.0,8.0,238,3.719,9.4,14.1,0.031,0.667,0.207,1.0,0.0,7,111,29,49,3,3,17,5,0,6,8,MXC,2,9,6,58,19,16.7,12.2,26.1,24.5,51.0,18.4,6.1,0.0469999999999999,0.427
2021,673.0,Aguilas de Mexicali,471906,Reynaldo Rodriguez,3,1B,181,66.0,75.0,0.0,2,0.364,10.0,3.0,4.0,32.0,707,3.906,11.0,14.4,0.017,0.769,0.103,2.0,0.0,35,338,67,132,10,7,30,4,1,29,16,MXC,3,26,20,156,50,7.7,9.5,19.8,29.5,34.8,27.3,8.3,0.0339999999999999,0.392
2021,673.0,Aguilas de Mexicali,550492,Luis Juarez,3,1B,54,19.0,15.0,0.0,0,0.342,3.0,0.0,0.0,8.0,186,3.444,14.8,13.0,0.019,1.143,0.109,1.0,0.0,11,95,27,39,4,0,10,2,1,8,3,MXC,1,7,8,46,14,7.7,14.5,28.4,33.3,33.3,20.5,12.8,-0.0179999999999999,0.379
2021,673.0,Aguilas de Mexicali,622270,Alex D. Mejia,5,3B,140,42.0,53.0,1.0,0,0.321,3.0,2.0,4.0,21.0,469,3.35,3.6,13.6,0.007,0.263,0.038,2.0,0.0,21,232,44,114,8,11,37,3,1,19,14,MXC,1,19,5,132,37,4.2,9.4,19.0,21.1,44.7,26.3,7.9,0.1,0.302
2021,673.0,Aguilas de Mexicali,672953,Gilberto Vizcarra,2,C,78,21.0,38.0,1.0,1,0.3,3.0,4.0,2.0,20.0,261,3.346,9.0,7.7,0.0,1.167,0.046,0.0,0.0,11,119,19,61,8,10,14,2,0,11,5,MXC,0,6,7,65,18,0.0,7.3,16.0,21.3,31.1,34.4,13.1,-0.0129999999999999,0.339
2021,673.0,Aguilas de Mexicali,592387,Ryon Healy,3,1B,73,26.0,32.0,0.0,1,0.326,5.0,1.0,0.0,10.0,278,3.808,8.2,24.7,0.027,0.333,0.138,1.0,0.0,15,126,41,48,1,5,10,1,1,11,4,MXC,2,18,6,65,17,12.5,14.7,32.5,33.3,29.2,33.3,4.2,0.1649999999999999,0.333
2021,673.0,Aguilas de Mexicali,665745,Javier Salazar,6,SS,224,70.0,77.0,1.0,5,0.302,13.0,0.0,2.0,39.0,908,4.054,9.8,16.5,0.009,0.595,0.097,3.0,0.0,32,395,89,165,15,11,56,10,1,20,20,MXC,2,37,22,196,51,4.8,9.8,22.5,25.5,46.1,18.8,9.7,0.067,0.319
2021,673.0,Aguilas de Mexicali,676021,Luis Santos,6,SS,71,18.0,26.0,0.0,1,0.314,2.0,0.0,1.0,9.0,305,4.296,9.9,18.3,0.0,0.538,0.032,1.0,1.0,11,127,22,51,5,2,17,2,1,6,7,MXC,0,13,7,63,16,0.0,7.2,17.3,25.5,47.1,15.7,11.8,0.0839999999999999,0.297
2021,673.0,Aguilas de Mexicali,593495,Daniel Castro,4,2B,252,71.0,91.0,15.0,1,0.277,12.0,1.0,2.0,39.0,973,3.861,6.7,11.5,0.008,0.586,0.078,5.0,0.0,33,435,59,205,21,14,83,7,2,24,21,MXC,2,29,17,218,54,5.0,6.1,13.6,19.5,50.7,18.5,11.2,0.048,0.283
