season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B,pRunMult,pRunMinDen,pRunPlusDen,wOBA
2021,673.0,Aguilas de Mexicali,650346,Ramon Hernandez,3B,3,2,0,0,0,0,2,0,0,3,1,0.333,9,0.4,0.333,0.733,0,0,,0,38,10,3,1,1,0,0,0.429,1.0,,MXC,3,1.6826157932599193,6,4,0.36
2021,673.0,Aguilas de Mexicali,592144,Wynton Bernard,LF,14,17,11,4,1,2,9,6,0,19,0,0.328,58,0.391,0.534,0.925,0,5,100.0,1,238,64,31,9,18,0,0,0.362,1.31,29.0,MXC,12,14.062540811244535,39,25,0.427
2021,673.0,Aguilas de Mexicali,471906,Reynaldo Rodriguez,1B,42,30,21,7,0,3,26,20,0,50,3,0.321,156,0.403,0.423,0.826,5,10,66.7,4,707,181,66,28,75,0,2,0.364,0.58,52.0,MXC,40,34.530776382048586,108,73,0.392
2021,673.0,Aguilas de Mexicali,550492,Luis Juarez,1B,14,10,8,2,0,1,7,8,1,14,0,0.304,46,0.407,0.413,0.82,0,0,,0,186,54,19,3,15,0,0,0.342,0.67,46.0,MXC,11,9.978078966299597,32,21,0.379
2021,673.0,Aguilas de Mexicali,622270,Alex D. Mejia,3B,36,37,15,2,0,1,19,5,0,37,2,0.28,132,0.317,0.318,0.635,1,2,66.7,4,469,140,42,9,53,1,0,0.321,0.93,132.0,MXC,34,20.45061977754413,95,44,0.302
2021,673.0,Aguilas de Mexicali,672953,Gilberto Vizcarra,C,23,14,10,3,0,0,6,7,0,18,4,0.277,65,0.377,0.323,0.7,0,0,,2,261,78,21,6,38,1,1,0.3,0.48,,MXC,15,12.436464501134417,48,29,0.339
2021,673.0,Aguilas de Mexicali,592387,Ryon Healy,1B,17,10,8,3,0,2,18,6,1,17,1,0.262,65,0.329,0.4,0.729,1,0,0.0,0,278,73,26,7,32,0,1,0.326,0.48,32.5,MXC,12,12.311232914614578,49,23,0.333
2021,673.0,Aguilas de Mexicali,665745,Javier Salazar,SS,58,56,24,9,2,2,37,22,1,51,0,0.26,196,0.327,0.357,0.684,2,7,77.8,2,908,224,70,26,77,1,5,0.302,0.97,98.0,MXC,38,35.10577638204858,150,72,0.319
2021,673.0,Aguilas de Mexicali,676021,Luis Santos,SS,27,17,7,2,0,0,13,7,0,16,0,0.254,63,0.324,0.286,0.61,2,1,33.3,1,305,71,18,4,26,0,1,0.314,0.94,,MXC,14,9.937540811244535,48,23,0.297
2021,673.0,Aguilas de Mexicali,593495,Daniel Castro,2B,60,83,25,9,1,2,29,17,0,54,1,0.248,218,0.304,0.326,0.63,2,0,0.0,2,973,252,71,17,91,15,1,0.277,1.22,109.0,MXC,42,35.02577638204858,165,72,0.283
2021,673.0,Aguilas de Mexicali,606477,Aneury Tavárez,LF,23,18,20,3,0,3,20,11,0,19,5,0.247,77,0.372,0.403,0.775,1,3,75.0,1,348,96,31,10,26,2,1,0.291,0.78,25.67,MXC,13,17.245926346079354,59,35,0.364
2021,673.0,Aguilas de Mexicali,519345,Joey Terdoslavich,DH,31,18,17,1,0,6,32,26,1,26,2,0.243,107,0.397,0.421,0.818,0,1,100.0,1,592,136,45,25,59,0,1,0.286,0.56,17.83,MXC,19,25.86323557080405,82,53,0.386
2021,673.0,Aguilas de Mexicali,511428,Leo Heras,RF,66,52,27,9,2,4,49,42,6,49,2,0.236,208,0.369,0.356,0.725,2,7,77.8,5,980,256,74,20,89,4,0,0.29,0.84,52.0,MXC,34,41.21177771014333,159,87,0.33
2021,673.0,Aguilas de Mexicali,672951,Victor Ruiz,3B,24,7,2,0,0,0,12,1,0,11,1,0.234,47,0.265,0.234,0.499,0,2,100.0,1,154,49,11,3,15,0,0,0.314,0.41,,MXC,11,5.606001328094737,36,13,0.243
2021,673.0,Aguilas de Mexicali,572241,David Washington,1B,8,4,1,1,0,1,12,2,0,6,0,0.222,27,0.276,0.37,0.646,1,0,0.0,0,132,29,10,3,11,0,0,0.357,0.8,27.0,MXC,4,4.562077638204858,21,8,0.304
2021,673.0,Aguilas de Mexicali,499926,Alex Liddi,3B,29,26,12,3,0,4,35,11,1,23,0,0.215,107,0.288,0.355,0.643,2,5,71.4,5,491,120,38,7,69,2,0,0.279,1.04,26.75,MXC,16,18.091464501134418,84,33,0.295
2021,673.0,Aguilas de Mexicali,518530,Xorge Carrillo,C,52,56,7,1,1,1,24,10,0,33,4,0.204,162,0.266,0.241,0.507,0,0,,3,623,182,39,15,80,5,1,0.232,1.02,162.0,MXC,30,21.04508162248907,130,47,0.242
2021,673.0,Aguilas de Mexicali,622738,Tito Polo,CF,8,9,2,1,0,0,11,0,0,6,1,0.194,31,0.219,0.226,0.445,1,1,50.0,1,116,32,7,1,15,0,0,0.3,1.8,,MXC,5,3.3420776382048585,25,7,0.214
2021,673.0,Aguilas de Mexicali,608589,Ronnier Mustelier,3B,22,31,6,2,0,0,11,9,0,14,0,0.192,73,0.277,0.219,0.496,0,1,100.0,2,327,86,16,6,34,3,1,0.222,1.48,,MXC,12,9.627540811244536,60,23,0.24
2021,673.0,Aguilas de Mexicali,662966,Bernardo Heras,RF,40,32,13,5,0,2,21,14,1,19,3,0.186,102,0.298,0.294,0.592,1,1,50.0,1,471,121,30,9,53,0,2,0.21,1.0,51.0,MXC,12,16.849080294394334,85,35,0.284
2021,673.0,Aguilas de Mexicali,433636,Hector Hernandez,3B,25,16,1,2,0,0,7,2,0,9,0,0.184,49,0.212,0.224,0.436,0,0,,2,197,54,11,5,31,2,1,0.209,0.8,,MXC,7,5.274693431464778,41,11,0.2
2021,673.0,Aguilas de Mexicali,671246,Fabricio Macias,CF,14,23,2,0,0,0,5,0,0,8,0,0.174,46,0.174,0.174,0.348,2,2,50.0,3,141,47,8,0,24,1,0,0.195,2.09,,MXC,8,3.6252315865198383,38,8,0.161
2021,673.0,Aguilas de Mexicali,477369,Jose Amador,DH,20,16,3,0,0,0,9,13,2,9,1,0.173,52,0.343,0.173,0.516,0,0,,2,270,67,9,4,31,0,1,0.205,0.84,,MXC,9,7.681232914614576,44,21,0.259
2021,673.0,Aguilas de Mexicali,688022,Tristen Carranza,DH,13,3,3,0,0,1,8,1,0,3,4,0.167,18,0.348,0.333,0.681,1,0,0.0,0,98,23,6,1,10,0,0,0.222,0.75,18.0,MXC,2,3.8970776382048586,15,8,0.345
2021,673.0,Aguilas de Mexicali,516736,Leandro Castro,LF,16,19,7,0,0,0,13,5,0,9,3,0.15,60,0.25,0.15,0.4,1,1,50.0,2,275,69,9,3,38,0,0,0.191,1.0,,MXC,9,6.5386171213546564,51,17,0.21
2021,673.0,Aguilas de Mexicali,679007,Rafael Franco,X,23,7,3,0,0,0,6,3,0,3,0,0.143,21,0.24,0.143,0.383,0,0,,0,104,25,3,2,12,0,1,0.188,1.17,,MXC,3,2.253923689889879,19,6,0.202
2021,673.0,Aguilas de Mexicali,502223,Jon Del Campo,LF,6,6,0,0,0,0,5,0,0,2,0,0.105,19,0.105,0.105,0.21,0,0,,0,55,19,2,0,9,0,0,0.143,1.0,,MXC,2,0.9063078966299596,17,2,0.099
2021,673.0,Aguilas de Mexicali,625329,Henry Urrutia,1B,5,10,0,0,0,0,4,1,0,1,0,0.059,17,0.105,0.059,0.164,0,0,,3,77,19,1,1,11,0,1,0.071,3.33,,MXC,1,0.7513078966299596,17,2,0.088
