team,season,swingAndMisses,numP,totalSwings,FO,flyHits,BIP,GO,groundHits,lineOuts,lineHits,popOuts,popHits,HR,SF,K,PA,BB,AB,H,K%,BB%,HR/PA,BB/K,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,HR/FB%,BABIP,wOBA
CUL,2020,664,7892,3566,313,101,1615,565,212,73,194,157,0,47,13,322,2143,191,1911,507,15.0,8.9,0.021931871208586,0.593167701863354,8.4,18.6,25.6,48.1,16.5,9.7,0.0611292580494633,11.4,0.296,0.336
GSV,2020,742,8174,3771,273,82,1663,621,235,98,231,114,9,38,14,327,2244,215,1950,557,14.6,9.6,0.016934046345811,0.6574923547400612,9.1,19.7,21.3,51.5,19.8,7.4,0.0499108734402852,10.7,0.325,0.353
HER,2020,809,8108,3609,291,98,1508,524,203,56,195,135,6,25,18,395,2129,207,1861,502,18.6,9.7,0.0117426021606387,0.5240506329113924,10.0,22.4,25.8,48.2,16.6,9.4,0.0883043682480037,6.4,0.327,0.329
JAL,2020,751,8606,4002,289,120,1747,624,234,79,235,161,5,52,14,321,2297,213,2042,594,14.0,9.3,0.0226382237701349,0.6635514018691588,8.7,18.8,23.4,49.1,18.0,9.5,0.0470178493687418,12.7,0.322,0.36
MAZ,2020,685,8174,3623,302,113,1668,609,184,85,198,174,3,39,17,286,2203,210,1911,498,13.0,9.5,0.017703132092601,0.7342657342657343,8.4,18.9,24.9,47.5,17.0,10.6,0.0344984112573763,9.4,0.286,0.334
MOC,2020,811,8591,3832,256,86,1520,553,156,112,198,155,4,50,6,408,2174,215,1904,444,18.8,9.9,0.0229990800367985,0.5269607843137255,9.4,21.2,22.5,46.6,20.4,10.5,0.0887764489420423,14.6,0.271,0.312
MTY,2020,739,8009,3728,305,81,1556,547,175,101,240,104,3,38,20,347,2106,167,1869,499,16.5,7.9,0.0180436847103513,0.4812680115273775,9.2,19.8,24.8,46.4,21.9,6.9,0.0854700854700854,9.8,0.307,0.33
MXC,2020,803,7902,3618,366,48,1540,541,154,77,228,114,12,31,23,363,2136,195,1852,442,17.0,9.1,0.0145131086142322,0.5371900826446281,10.2,22.2,26.9,45.1,19.8,8.2,0.0786516853932584,7.5,0.278,0.307
NAV,2020,909,8181,3736,296,86,1527,543,172,87,193,148,2,31,22,419,2172,199,1892,453,19.3,9.2,0.0142725598526703,0.4749403341288782,11.1,24.3,25.0,46.8,18.3,9.8,0.1012891344383057,8.1,0.288,0.301
OBR,2020,809,8738,3877,341,90,1645,565,181,67,236,161,4,50,19,348,2259,234,1963,511,15.4,10.4,0.0221336874723328,0.6724137931034483,9.3,20.9,26.2,45.3,18.4,10.0,0.0504648074369189,11.6,0.291,0.339
