team,season,swingAndMisses,numP,totalSwings,FO,flyHits,BIP,GO,groundHits,lineOuts,lineHits,popOuts,popHits,HR,SF,K,PA,BB,AB,H,K%,BB%,HR/PA,BB/K,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,HR/FB%,BABIP,wOBA
CUL,2023,1117,9056,4315,349,107,1712,594,228,76,200,154,4,52,9,475,2431,203,2136,539,19.5,8.4,0.0213903743315508,0.4273684210526315,12.3,25.9,26.6,48.0,16.1,9.2,0.1118881118881119,11.4,0.301,0.327
GSV,2023,989,9622,4188,335,70,1705,571,162,124,258,175,10,36,14,489,2513,282,2154,500,19.5,11.2,0.014325507361719,0.5766871165644172,10.3,23.6,23.8,43.0,22.4,10.9,0.0823716673298846,8.9,0.282,0.315
HER,2023,964,9819,4322,404,111,1802,599,172,67,262,185,2,42,18,451,2570,262,2201,547,17.5,10.2,0.0163424124513618,0.5809312638580931,9.8,22.3,28.6,42.8,18.3,10.4,0.0735408560311284,8.2,0.293,0.33
JAL,2023,1097,9757,4620,360,192,1794,574,222,103,178,160,5,76,21,497,2547,218,2245,597,19.5,8.6,0.0298390263054574,0.4386317907444668,11.2,23.7,30.8,44.4,15.7,9.2,0.1095406360424028,13.8,0.308,0.35
MAZ,2023,971,9449,4378,346,98,1875,654,240,101,222,211,3,27,17,419,2506,185,2234,563,16.7,7.4,0.0107741420590582,0.441527446300716,10.3,22.2,23.7,47.7,17.2,11.4,0.0933758978451715,6.1,0.297,0.308
MOC,2023,1082,9648,4618,312,85,1742,644,174,118,255,152,2,36,25,474,2513,261,2161,516,18.9,10.4,0.014325507361719,0.5506329113924051,11.2,23.4,22.8,47.0,21.4,8.8,0.0847592518901711,9.1,0.286,0.311
MTY,2023,1132,9305,4360,313,92,1616,567,199,78,227,139,1,38,15,488,2405,265,2065,519,20.3,11.0,0.0158004158004158,0.5430327868852459,12.2,26.0,25.1,47.4,18.9,8.7,0.0927234927234927,9.4,0.31,0.328
MXC,2023,1046,9801,4540,330,82,1775,617,178,103,282,172,11,37,21,487,2544,256,2199,553,19.1,10.1,0.0145440251572327,0.5256673511293635,10.7,23.0,23.2,44.8,21.7,10.3,0.0908018867924528,9.0,0.304,0.322
NAV,2023,1302,9387,4565,267,113,1592,561,217,95,189,148,2,51,14,563,2440,239,2114,521,23.1,9.8,0.0209016393442622,0.4245115452930728,13.9,28.5,23.9,48.9,17.8,9.4,0.1327868852459016,13.4,0.31,0.33
OBR,2023,1058,10081,4574,336,97,1797,655,228,97,220,159,5,40,18,498,2584,252,2234,550,19.3,9.8,0.0154798761609907,0.5060240963855421,10.5,23.1,24.1,49.1,17.6,9.1,0.0952012383900928,9.2,0.298,0.318
