team,season,G,PA,AB,H,RBI,SB,2B,3B,HR,TB,HBP,SF,R,K,BB,IBB,GIDP,1B,SLG,OBP,OPS,AVG,BABIP,pRunMult,pRunMinDen,pRunPlusDen,wOBA
CUL,2021,760,2633,2315,651,285,74,102,5,38,877,28,25,309,363,237,18,69,506,0.379,0.352,0.731,0.281,0.316,438.7773955508826,1689,898,0.338
GSV,2021,787,2620,2269,628,290,38,101,10,35,854,29,19,319,412,275,16,69,482,0.376,0.36,0.736,0.277,0.322,440.3136284654972,1660,916,0.343
HER,2021,693,2626,2333,612,268,49,104,5,32,822,32,19,287,457,210,13,58,471,0.352,0.329,0.681,0.262,0.311,410.7565441868187,1740,841,0.318
JAL,2021,765,2626,2298,631,306,22,110,7,57,926,35,28,318,414,238,10,65,457,0.403,0.348,0.751,0.275,0.309,456.1898547396381,1695,894,0.348
MAZ,2021,717,2607,2296,602,245,58,96,12,29,809,29,13,262,407,224,18,46,465,0.352,0.334,0.6859999999999999,0.262,0.306,406.68839023850364,1707,837,0.317
MOC,2021,742,2554,2248,564,223,43,72,7,35,755,37,19,243,462,217,5,69,450,0.336,0.324,0.66,0.251,0.299,389.47377178905424,1703,813,0.312
MTY,2021,757,2522,2221,565,257,26,110,7,44,821,32,16,282,433,218,10,54,404,0.37,0.328,0.698,0.254,0.296,407.04015466769965,1672,805,0.324
MXC,2021,721,2580,2234,529,225,49,69,7,35,717,38,21,255,452,249,14,48,418,0.321,0.321,0.642,0.237,0.279,379.8940783575895,1726,802,0.302
NAV,2021,734,2559,2279,618,291,50,101,13,63,934,43,18,307,510,183,16,36,441,0.41,0.335,0.745,0.271,0.322,441.0977704609595,1679,828,0.34
OBR,2021,772,2597,2275,575,254,59,89,11,50,836,51,12,276,489,225,16,43,425,0.367,0.332,0.6990000000000001,0.253,0.3,419.67084942725916,1712,835,0.325
