season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2022,673.0,Aguilas de Mexicali,689161,Carlos Arellano,7,LF,43,14.0,14.0,2.0,0,0.387,2.0,1.0,0.0,3.0,154,3.581,4.7,16.3,0.0,0.286,0.053,0.0,0.0,4,61,14,33,3,3,11,1,0,6,5,MXC,0,7,2,38,12,0.0,9.1,23.0,15.2,48.5,27.3,9.1,0.116,0.336
2022,673.0,Aguilas de Mexicali,434562,Chris Roberson,9,RF,37,11.0,16.0,0.0,1,0.37,1.0,1.0,0.0,4.0,158,4.27,8.1,16.2,0.0,0.5,0.031,1.0,0.0,7,73,17,27,4,0,6,1,0,4,5,MXC,0,6,3,32,10,0.0,10.8,23.3,29.6,40.7,14.8,14.8,0.081,0.347
2022,673.0,Aguilas de Mexicali,681944,Dean Nevarez,X,X,7,2.0,5.0,0.0,0,0.667,0.0,0.0,0.0,0.0,28,4.0,0.0,57.1,0.0,,0.0,0.0,0.0,0,15,8,3,0,0,1,0,1,0,1,MXC,0,4,0,7,2,,28.6,53.3,0.0,66.7,0.0,33.3,0.571,0.271
2022,673.0,Aguilas de Mexicali,511428,Leo Heras,8,CF,208,67.0,77.0,0.0,2,0.344,11.0,2.0,0.0,23.0,860,4.135,15.4,19.7,0.01,0.78,0.116,2.0,0.0,27,342,79,133,11,6,42,5,3,21,18,MXC,2,41,32,172,47,6.2,9.2,23.1,24.1,45.1,20.3,10.5,0.043,0.367
2022,673.0,Aguilas de Mexicali,608608,Carlos Munoz,3,1B,37,10.0,17.0,0.0,0,0.31,1.0,0.0,2.0,8.0,135,3.649,10.8,10.8,0.0,1.0,0.03,0.0,0.0,3,64,9,29,3,5,9,1,2,3,3,MXC,0,4,4,33,9,0.0,6.7,14.1,13.8,41.4,27.6,17.2,0.0,0.301
2022,673.0,Aguilas de Mexicali,471906,Reynaldo Rodriguez,3,1B,241,85.0,99.0,0.0,3,0.285,17.0,1.0,6.0,48.0,914,3.793,7.1,13.7,0.017,0.515,0.127,3.0,0.0,49,468,82,190,18,12,54,10,2,29,16,MXC,4,33,17,220,57,6.8,9.0,17.5,31.1,36.8,21.6,10.5,0.066,0.33
2022,673.0,Aguilas de Mexicali,572868,Anthony Giansanti,7,LF,265,107.0,95.0,2.0,0,0.276,28.0,3.0,7.0,42.0,1077,4.064,10.9,17.7,0.038,0.617,0.212,4.0,0.0,42,506,137,186,17,9,60,9,1,36,12,MXC,10,47,29,231,58,19.6,12.7,27.1,27.4,38.7,24.2,9.7,0.0679999999999999,0.373
2022,673.0,Aguilas de Mexicali,543875,Niko Vasquez,5,3B,255,85.0,108.0,0.0,3,0.263,16.0,2.0,3.0,28.0,959,3.761,14.1,14.9,0.031,0.947,0.15,5.0,1.0,40,404,100,179,22,7,57,7,0,30,16,MXC,8,38,36,214,53,17.0,10.4,24.8,26.3,40.8,20.7,12.3,0.008,0.36
2022,673.0,Aguilas de Mexicali,594988,Scott Schebler,9,RF,123,32.0,42.0,0.0,2,0.305,4.0,4.0,0.0,16.0,475,3.862,8.1,21.1,0.008,0.385,0.056,2.0,0.0,19,250,67,83,5,5,28,3,0,13,10,MXC,1,26,10,107,26,4.5,14.1,26.8,26.5,45.8,21.7,6.0,0.13,0.294
2022,673.0,Aguilas de Mexicali,663796,Coco Montes,6,SS,138,34.0,51.0,1.0,3,0.275,5.0,2.0,2.0,24.0,492,3.565,6.5,17.4,0.0,0.375,0.049,4.0,0.0,38,240,57,103,6,9,22,3,3,13,9,MXC,0,24,9,123,28,0.0,11.6,23.8,39.8,30.1,21.4,8.7,0.1089999999999999,0.269
2022,673.0,Aguilas de Mexicali,595373,Jack Reinheimer,6,SS,68,13.0,24.0,0.0,0,0.283,0.0,0.0,0.0,2.0,267,3.926,11.8,20.6,0.0,0.571,0.0,1.0,0.0,7,121,31,46,6,3,17,0,0,5,8,MXC,0,14,8,60,13,0.0,11.6,25.6,15.2,54.3,17.4,13.0,0.088,0.256
2022,673.0,Aguilas de Mexicali,807580,Diego Ramirez,5,3B,14,3.0,7.0,0.0,0,0.333,0.0,0.0,1.0,3.0,50,3.571,0.0,35.7,0.0,,0.0,0.0,0.0,1,33,12,9,0,1,4,0,0,3,0,MXC,0,5,0,14,3,0.0,24.0,36.4,11.1,44.4,44.4,0.0,0.357,0.203
2022,673.0,Aguilas de Mexicali,518530,Xorge Carrillo,2,C,216,53.0,87.0,6.0,2,0.242,11.0,6.0,8.0,34.0,741,3.431,4.6,14.8,0.005,0.313,0.068,4.0,0.0,40,369,83,168,15,10,63,4,1,22,13,MXC,1,32,10,192,40,2.3,11.2,22.5,26.2,45.2,19.0,9.5,0.102,0.257
2022,673.0,Aguilas de Mexicali,662966,Bernardo Heras,4,2B,135,28.0,43.0,1.0,2,0.274,5.0,2.0,4.0,14.0,505,3.741,13.3,22.2,0.0,0.6,0.045,1.0,0.0,22,238,67,85,8,4,28,6,1,11,5,MXC,0,30,18,112,23,0.0,13.3,28.2,32.9,38.8,17.6,10.6,0.089,0.275
2022,673.0,Aguilas de Mexicali,518770,Alonzo Harris,9,RF,80,17.0,23.0,1.0,0,0.222,2.0,0.0,2.0,8.0,335,4.188,16.3,13.8,0.013,1.182,0.061,1.0,1.0,11,122,18,56,7,2,23,1,1,7,4,MXC,1,11,13,66,13,8.3,5.4,14.8,21.4,48.2,16.1,14.3,-0.0249999999999999,0.294
2022,673.0,Aguilas de Mexicali,672906,Lazaro Alonso,10,DH,49,11.0,22.0,0.0,0,0.286,2.0,0.0,1.0,3.0,206,4.204,26.5,28.6,0.02,0.929,0.111,1.0,0.0,4,84,35,22,0,3,8,1,0,1,5,MXC,1,14,13,36,7,20.0,17.0,41.7,22.7,59.1,18.2,0.0,0.0209999999999999,0.365
