team,season,swingAndMisses,numP,totalSwings,FO,flyHits,BIP,GO,groundHits,lineOuts,lineHits,popOuts,popHits,HR,SF,K,PA,BB,AB,H,K%,BB%,HR/PA,BB/K,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,HR/FB%,BABIP,wOBA
CUL,2022,934,9206,4363,401,102,1799,605,184,86,233,186,2,27,18,429,2454,196,2192,521,17.5,8.0,0.011002444987775,0.4568764568764569,10.1,21.4,28.0,43.9,17.7,10.5,0.0949470252648736,5.4,0.282,0.3
GSV,2022,991,9911,4481,299,72,1784,682,156,138,278,156,3,30,12,489,2558,239,2216,509,19.1,9.3,0.0117279124315871,0.4887525562372188,10.0,22.1,20.8,47.0,23.3,8.9,0.0977326035965598,8.1,0.28,0.301
HER,2022,988,9855,4480,440,115,1886,590,209,88,252,185,7,39,25,432,2597,248,2269,583,16.6,9.5,0.0150173276857912,0.5740740740740741,10.0,22.1,29.4,42.4,18.0,10.2,0.0708509819021948,7.0,0.298,0.328
JAL,2022,980,10055,4672,425,162,1948,635,234,104,223,165,0,32,19,422,2631,233,2333,619,16.0,8.9,0.0121626757886735,0.5521327014218009,9.7,21.0,30.1,44.6,16.8,8.5,0.0718358038768529,5.5,0.309,0.333
MAZ,2022,888,9095,4336,374,104,1782,634,209,112,188,158,3,27,20,412,2392,160,2152,504,17.2,6.7,0.0112876254180602,0.3883495145631068,9.8,20.5,26.8,47.3,16.8,9.0,0.1053511705685618,5.6,0.275,0.292
MOC,2022,1081,9721,4626,270,68,1826,691,209,145,314,128,1,43,19,493,2570,213,2271,592,19.2,8.3,0.0167315175097276,0.4320486815415821,11.1,23.4,18.5,49.3,25.1,7.1,0.1089494163424124,12.7,0.313,0.325
MTY,2022,1012,9497,4434,331,85,1848,687,223,95,262,161,4,37,18,399,2514,238,2187,574,15.9,9.5,0.0147175815433572,0.5964912280701754,10.7,22.8,22.5,49.2,19.3,8.9,0.064041368337311,8.9,0.304,0.33
MXC,2022,1085,9922,4519,394,65,1766,602,167,109,241,170,18,30,21,476,2544,265,2199,491,18.7,10.4,0.0117924528301886,0.5567226890756303,10.9,24.0,26.0,43.5,19.8,10.6,0.082940251572327,6.5,0.269,0.299
NAV,2022,1106,9824,4584,347,107,1782,606,215,99,212,194,2,31,18,487,2505,201,2213,536,19.4,8.0,0.012375249500998,0.4127310061601643,11.3,24.1,25.5,46.1,17.5,11.0,0.1141716566866267,6.8,0.295,0.307
OBR,2022,1062,9859,4479,401,100,1823,628,196,109,221,164,4,34,30,482,2576,242,2237,521,18.7,9.4,0.0131987577639751,0.5020746887966805,10.8,23.7,27.5,45.2,18.1,9.2,0.093167701863354,6.8,0.278,0.301
