season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B,pRunMult,pRunMinDen,pRunPlusDen,wOBA
2023,673.0,Aguilas de Mexicali,675455,Milan Tolentino,DH,18,5,7,4,0,0,7,5,0,10,0,0.357,28,0.455,0.5,0.955,1,1,50.0,0,126,33,14,1,4,0,0,0.476,0.83,,MXC,6,7.145002564248676,18,15,0.446
2023,673.0,Aguilas de Mexicali,650995,Norberto Obeso,LF,45,55,32,10,0,0,24,36,1,54,0,0.338,160,0.457,0.4,0.857,1,3,75.0,3,786,199,64,11,55,2,1,0.394,1.83,,MXC,44,37.44701521454215,107,89,0.405
2023,673.0,Aguilas de Mexicali,433636,Hector Hernandez,X,4,1,1,0,0,0,0,1,0,1,0,0.333,3,0.5,0.333,0.833,0,0,,0,14,4,1,0,2,0,0,0.333,1.0,,MXC,1,0.7410003418998234,2,2,0.418
2023,673.0,Aguilas de Mexicali,606143,Alejandro Mejia,1B,6,6,0,0,0,0,4,1,0,8,0,0.333,24,0.36,0.333,0.693,0,0,,0,90,25,8,2,18,0,0,0.4,1.0,,MXC,8,3.8770015385492056,16,9,0.331
2023,673.0,Aguilas de Mexicali,642299,Alejandro Flores,RF,53,30,17,10,1,2,41,28,2,50,1,0.307,163,0.411,0.417,0.828,1,3,75.0,3,839,194,68,23,70,2,0,0.4,0.68,81.5,MXC,37,35.810012821243376,113,77,0.384
2023,673.0,Aguilas de Mexicali,573627,Kennys Vargas,DH,68,66,25,14,0,10,63,32,4,71,7,0.292,243,0.385,0.473,0.858,0,0,,7,1167,286,115,54,113,0,4,0.351,1.4,24.3,MXC,47,55.95801641119153,176,106,0.39
2023,673.0,Aguilas de Mexicali,500208,Yangervis Solarte,3B,54,58,25,6,0,8,22,23,0,54,0,0.274,197,0.348,0.426,0.774,1,1,50.0,6,854,223,84,28,108,2,1,0.274,0.88,24.62,MXC,40,40.34701179554391,144,77,0.362
2023,673.0,Aguilas de Mexicali,672953,Gilberto Vizcarra,C,14,6,1,0,0,0,5,3,0,5,0,0.263,19,0.364,0.263,0.627,0,0,,1,94,24,5,1,6,2,0,0.357,1.2,,MXC,5,3.1190013675992936,14,8,0.288
2023,673.0,Aguilas de Mexicali,471906,Reynaldo Rodriguez,1B,66,54,29,10,0,4,46,23,1,65,1,0.257,253,0.319,0.344,0.663,3,7,70.0,2,1041,280,87,24,111,1,2,0.298,0.59,63.25,MXC,51,42.69201435979259,190,88,0.312
2023,673.0,Aguilas de Mexicali,665745,Javier Salazar,SS,64,66,19,15,0,6,51,16,0,54,0,0.255,212,0.304,0.41,0.714,3,1,25.0,5,921,237,87,31,83,7,2,0.306,1.32,35.33,MXC,33,39.09201094079435,160,70,0.323
2023,673.0,Aguilas de Mexicali,692269,Ramon Mora,X,9,1,1,0,0,0,1,0,0,1,0,0.25,4,0.25,0.25,0.5,0,0,,0,12,4,1,2,4,0,0,0.333,1.0,,MXC,1,0.44800017094991174,3,1,0.236
2023,673.0,Aguilas de Mexicali,655212,Manuel Orduno,RF,25,7,3,1,0,0,2,1,0,4,0,0.25,16,0.294,0.313,0.607,0,0,,1,59,17,5,2,7,0,0,0.286,2.33,,MXC,3,2.385000854749559,12,5,0.289
