team,season,G,PA,AB,H,RBI,SB,2B,3B,HR,TB,HBP,SF,R,K,BB,IBB,GIDP,1B,SLG,OBP,OPS,AVG,BABIP,pRunMult,pRunMinDen,pRunPlusDen,wOBA
CUL,2020,654,2143,1911,507,220,60,101,3,47,755,15,13,245,322,191,10,57,356,0.395,0.335,0.73,0.265,0.296,373.84153792830267,1417,703,0.336
GSV,2020,683,2244,1950,557,253,30,88,12,38,783,39,14,274,327,215,10,53,419,0.402,0.366,0.768,0.286,0.325,405.54908298673,1407,801,0.353
HER,2020,565,2129,1861,502,226,55,85,11,25,684,19,18,250,395,207,14,46,381,0.368,0.346,0.714,0.27,0.327,355.8166686472569,1377,714,0.329
JAL,2020,642,2297,2042,594,299,26,107,5,52,867,15,14,315,321,213,11,61,430,0.425,0.36,0.7849999999999999,0.291,0.322,428.57800653594774,1462,811,0.36
MAZ,2020,612,2203,1911,498,238,18,101,12,39,740,39,17,266,286,210,16,56,346,0.387,0.343,0.73,0.261,0.286,379.43122598534364,1430,731,0.334
MOC,2020,647,2174,1904,444,218,37,63,4,50,665,31,6,231,408,215,11,49,327,0.349,0.32,0.669,0.233,0.271,348.9705218855219,1466,679,0.312
MTY,2020,631,2106,1869,499,231,35,84,5,38,707,36,20,254,347,167,9,67,372,0.378,0.336,0.714,0.267,0.307,357.65001881560704,1390,693,0.33
MXC,2020,600,2136,1852,442,196,28,77,8,31,628,38,23,214,363,195,8,49,326,0.339,0.32,0.659,0.239,0.278,333.841155674391,1433,667,0.307
NAV,2020,601,2172,1892,453,217,30,73,7,31,633,27,22,238,419,199,14,55,342,0.335,0.317,0.652,0.239,0.288,332.8781174489998,1461,665,0.301
OBR,2020,593,2259,1963,511,288,75,85,12,50,770,31,19,311,348,234,16,37,364,0.392,0.345,0.737,0.26,0.291,395.7485700138641,1471,760,0.339
