season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2020,673.0,Aguilas de Mexicali,518530,Xorge Carrillo,2,C,187,62.0,74.0,0.0,1,0.353,12.0,4.0,3.0,25.0,730,3.904,10.2,16.0,0.005,0.633,0.086,0.0,1.0,36,321,66,134,3,11,36,4,3,22,19,MXC,1,30,19,163,48,2.5,9.0,20.6,29.9,41.0,24.6,4.5,0.058,0.357
2020,673.0,Aguilas de Mexicali,593495,Daniel Castro,4,2B,218,60.0,61.0,8.0,5,0.325,7.0,0.0,4.0,31.0,854,3.917,11.9,11.0,0.0,1.083,0.045,4.0,0.0,33,330,50,168,13,10,60,4,4,25,19,MXC,0,24,26,179,52,0.0,5.9,15.2,22.0,47.0,20.8,10.1,-0.0089999999999999,0.325
2020,673.0,Aguilas de Mexicali,511428,Leo Heras,8,CF,85,35.0,22.0,0.0,0,0.367,8.0,0.0,1.0,2.0,349,4.106,14.1,24.7,0.035,0.571,0.192,0.0,0.0,9,136,39,52,5,1,16,4,0,8,9,MXC,3,21,12,73,21,23.1,11.2,28.7,25.0,48.1,17.3,9.6,0.106,0.383
2020,673.0,Aguilas de Mexicali,550492,Luis Juarez,10,DH,213,76.0,84.0,0.0,2,0.282,14.0,3.0,2.0,41.0,706,3.315,8.5,5.2,0.019,1.636,0.116,4.0,2.0,48,335,44,181,22,7,50,2,0,31,21,MXC,4,11,18,190,54,8.0,6.2,13.1,27.6,39.2,21.0,12.2,-0.033,0.351
2020,673.0,Aguilas de Mexicali,676021,Luis Santos,6,SS,94,28.0,26.0,2.0,0,0.361,4.0,4.0,0.0,10.0,353,3.755,8.5,20.2,0.0,0.421,0.075,3.0,0.0,6,146,37,63,2,3,30,2,0,12,8,MXC,0,19,8,80,22,0.0,10.5,25.3,12.7,60.3,23.8,3.2,0.117,0.339
2020,673.0,Aguilas de Mexicali,515768,Balbino Fuenmayor,3,1B,67,28.0,38.0,0.0,0,0.292,5.0,2.0,3.0,11.0,221,3.299,4.5,16.4,0.045,0.273,0.177,0.0,0.0,12,141,36,51,2,3,17,4,0,9,4,MXC,3,11,3,62,17,18.8,16.3,25.5,31.4,41.2,23.5,3.9,0.119,0.359
2020,673.0,Aguilas de Mexicali,433636,Hector Hernandez,5,3B,83,24.0,33.0,0.0,3,0.288,4.0,0.0,4.0,12.0,276,3.325,10.8,9.6,0.0,1.125,0.07,0.0,0.0,20,124,18,66,6,2,19,2,0,11,6,MXC,0,8,9,71,19,0.0,6.5,14.5,33.3,37.9,19.7,9.1,-0.0119999999999999,0.317
2020,673.0,Aguilas de Mexicali,591977,Felix Perez,9,RF,55,27.0,30.0,0.0,0,0.265,6.0,2.0,1.0,12.0,209,3.8,5.5,21.8,0.073,0.25,0.28,0.0,0.0,9,105,27,38,5,0,11,4,0,5,4,MXC,4,12,3,50,13,30.8,12.9,25.7,34.2,39.5,13.2,13.2,0.163,0.378
2020,673.0,Aguilas de Mexicali,643192,Eric Aguilera,3,1B,105,37.0,50.0,0.0,1,0.308,8.0,2.0,5.0,13.0,388,3.695,9.5,23.8,0.029,0.4,0.152,2.0,0.0,16,185,56,68,1,2,26,6,2,13,2,MXC,3,25,10,92,23,13.6,14.4,30.3,32.4,41.2,22.1,4.4,0.143,0.336
2020,673.0,Aguilas de Mexicali,628329,Rusney Castillo,9,RF,90,23.0,36.0,0.0,0,0.286,3.0,4.0,6.0,16.0,303,3.367,6.7,11.1,0.0,0.6,0.037,3.0,0.0,12,155,28,70,1,5,32,1,0,14,5,MXC,0,10,6,80,20,0.0,9.2,18.1,18.6,52.9,27.1,1.4,0.044,0.288
2020,673.0,Aguilas de Mexicali,622270,Alex D. Mejia,5,3B,120,29.0,54.0,1.0,1,0.279,5.0,0.0,3.0,18.0,448,3.733,10.8,16.7,0.0,0.65,0.048,2.0,0.0,16,212,46,87,7,8,32,2,0,10,12,MXC,0,20,13,105,24,0.0,10.3,21.7,20.7,50.6,20.7,8.0,0.059,0.283
2020,673.0,Aguilas de Mexicali,671246,Fabricio Macias,8,CF,187,54.0,67.0,5.0,3,0.279,13.0,4.0,2.0,24.0,627,3.353,3.7,21.9,0.005,0.171,0.101,2.0,0.0,30,303,74,135,6,5,57,3,1,20,13,MXC,1,41,7,168,37,3.0,11.8,24.4,24.4,51.9,18.5,5.2,0.182,0.26
