season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2023,5482.0,Algodoneros de Guasave,641555,J.C. Escarra,9,RF,58,15.0,9.0,1.0,1,0.25,3.0,1.0,1.0,7.0,219,3.776,22.4,10.3,0.017,2.167,0.119,0.0,0.0,11,72,9,38,1,2,14,1,1,6,2,GSV,1,6,13,42,10,8.3,4.1,12.5,31.6,42.1,21.1,5.3,-0.121,0.364
2023,5482.0,Algodoneros de Guasave,672361,Agustin Ruiz,9,RF,178,63.0,78.0,4.0,1,0.311,15.0,3.0,1.0,30.0,721,4.051,7.3,28.1,0.028,0.26,0.166,2.0,0.0,22,334,99,112,15,6,32,7,0,21,9,GSV,5,50,13,157,37,17.2,13.7,29.6,25.9,36.6,24.1,13.4,0.208,0.324
2023,5482.0,Algodoneros de Guasave,685694,Keven Lamas,4,2B,51,14.0,29.0,0.0,0,0.282,3.0,0.0,1.0,9.0,205,4.02,5.9,17.6,0.0,0.333,0.063,2.0,0.0,12,92,20,39,5,0,11,1,1,6,3,GSV,0,9,3,48,11,0.0,9.8,21.7,33.3,35.9,15.4,15.4,0.1169999999999999,0.271
2023,5482.0,Algodoneros de Guasave,606019,Esteban Quiroz,4,2B,178,43.0,63.0,1.0,1,0.27,10.0,6.0,2.0,24.0,789,4.433,17.4,15.7,0.006,1.107,0.086,1.0,0.0,22,279,65,113,16,9,35,7,1,17,6,GSV,1,28,31,139,31,3.4,8.2,23.3,25.7,36.3,23.0,15.0,-0.0169999999999999,0.345
2023,5482.0,Algodoneros de Guasave,811366,Brandon Jaime,2,C,11,3.0,6.0,0.0,1,0.222,1.0,1.0,0.0,2.0,44,4.0,0.0,9.1,0.0,,0.111,0.0,0.0,4,20,4,9,1,0,2,0,0,2,0,GSV,0,1,0,9,2,0.0,9.1,20.0,44.4,22.2,22.2,11.1,0.091,0.278
2023,5482.0,Algodoneros de Guasave,674706,Alan Lopez,4,2B,107,22.0,31.0,1.0,0,0.364,2.0,2.0,2.0,11.0,435,4.065,13.1,32.7,0.0,0.4,0.022,1.0,0.0,7,194,64,56,2,7,20,2,0,8,10,GSV,0,35,14,90,20,0.0,14.7,33.0,16.1,53.6,26.8,3.6,0.196,0.294
2023,5482.0,Algodoneros de Guasave,501731,Rainel Rosario,7,LF,277,99.0,136.0,0.0,1,0.273,24.0,1.0,4.0,39.0,1132,4.087,11.9,28.2,0.04,0.423,0.19,3.0,0.0,38,500,140,165,27,7,40,9,0,29,15,GSV,11,78,33,242,53,23.4,12.4,28.0,28.5,33.3,21.8,16.4,0.1629999999999999,0.339
2023,5482.0,Algodoneros de Guasave,458501,Luis Alfonso Cruz,3,1B,88,23.0,50.0,0.0,0,0.239,4.0,0.0,3.0,20.0,284,3.227,8.0,14.8,0.011,0.538,0.074,1.0,0.0,11,150,28,68,10,7,23,2,0,10,5,GSV,1,13,7,81,17,7.7,9.9,18.7,19.1,41.2,25.0,14.7,0.0679999999999999,0.269
2023,5482.0,Algodoneros de Guasave,545150,Ramon R Ramirez,7,LF,29,5.0,21.0,0.0,1,0.294,0.0,0.0,0.0,5.0,124,4.276,6.9,34.5,0.0,0.2,0.0,0.0,0.0,6,60,25,17,1,2,3,0,0,3,2,GSV,0,10,2,26,5,0.0,20.2,41.7,35.3,29.4,29.4,5.9,0.2759999999999999,0.213
2023,5482.0,Algodoneros de Guasave,669315,Orlando Pina,5,3B,187,55.0,107.0,0.0,2,0.216,12.0,1.0,6.0,32.0,741,3.963,9.6,24.6,0.032,0.391,0.145,0.0,2.0,32,308,98,122,10,16,33,8,0,14,9,GSV,6,46,18,166,31,15.0,13.2,31.8,32.8,34.4,24.6,8.2,0.15,0.286
2023,5482.0,Algodoneros de Guasave,510548,Jose Heberto Felix,2,C,129,22.0,64.0,4.0,0,0.194,1.0,1.0,5.0,20.0,425,3.295,2.3,10.1,0.0,0.231,0.008,2.0,0.0,14,231,38,112,12,15,50,0,1,11,9,GSV,0,13,3,121,21,0.0,8.9,16.5,12.5,52.7,23.2,11.6,0.078,0.18
2023,5482.0,Algodoneros de Guasave,653245,Kristian Delgado,4,2B,32,4.0,12.0,0.0,1,0.25,0.0,3.0,1.0,3.0,118,3.688,9.4,31.3,0.0,0.3,0.0,0.0,0.0,2,56,19,16,4,0,6,0,0,1,3,GSV,0,10,3,25,4,0.0,16.1,33.9,12.5,56.2,6.2,25.0,0.219,0.258
2023,5482.0,Algodoneros de Guasave,652669,Angel Erro,5,3B,96,12.0,40.0,2.0,0,0.164,0.0,3.0,3.0,15.0,344,3.583,6.3,12.5,0.0,0.5,0.0,4.0,0.0,10,151,23,75,8,6,39,0,1,2,9,GSV,0,12,6,85,12,0.0,6.7,15.2,13.3,64.0,10.7,12.0,0.062,0.18
2023,5482.0,Algodoneros de Guasave,807581,Randy Delgado,3,1B,1,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,3,3.0,0.0,100.0,0.0,,0.0,0.0,0.0,0,3,3,0,0,0,0,0,0,0,0,GSV,0,1,0,1,0,,100.0,100.0,,,,,1.0,0.0
2023,5482.0,Algodoneros de Guasave,585133,Arturo Rodriguez,2,C,2,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,7,1,2,1,0,1,0,0,0,0,GSV,0,0,0,2,0,,10.0,14.3,0.0,50.0,0.0,50.0,0.0,0.0
2023,5482.0,Algodoneros de Guasave,692261,Jose Villa,X,X,10,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,43,4.3,0.0,70.0,0.0,,0.0,0.0,0.0,1,17,10,3,1,0,1,0,0,0,0,GSV,0,7,0,10,0,0.0,23.3,58.8,33.3,33.3,0.0,33.3,0.7,0.0
