season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,673.0,Aguilas de Mexicali,595943,Phillip Evans,3B,1,1,2,1,0,1,0,1,0,3,0,0.75,4,0.8,1.75,2.55,1,0,0.0,0,15,5,7,2,3,0,0,0.667,1.0,4.0,MXC,
2024,673.0,Aguilas de Mexicali,655212,Manuel Orduno,LF,6,1,1,0,0,0,1,0,0,1,0,0.333,3,0.333,0.333,0.666,0,0,,0,9,3,1,0,3,0,0,0.5,1.0,,MXC,
2024,673.0,Aguilas de Mexicali,650995,Norberto Obeso,LF,27,40,14,4,0,0,13,12,0,29,2,0.293,99,0.377,0.333,0.71,0,0,,1,468,117,33,10,44,3,1,0.333,1.9,,MXC,
2024,673.0,Aguilas de Mexicali,511428,Leo Heras,X,18,6,7,1,1,3,15,3,0,12,0,0.261,46,0.306,0.522,0.828,0,5,100.0,0,212,50,24,7,16,1,0,0.321,0.43,15.33,MXC,
2024,673.0,Aguilas de Mexicali,676021,Luis Santos,X,16,4,5,0,2,0,6,4,0,6,1,0.261,23,0.393,0.435,0.828,0,1,100.0,0,120,28,10,1,12,0,0,0.353,0.57,,MXC,
2024,673.0,Aguilas de Mexicali,622270,Alex D. Mejia,1B,28,18,6,3,0,0,18,8,0,24,3,0.255,94,0.33,0.287,0.617,1,0,0.0,3,388,106,27,11,42,0,1,0.312,0.51,,MXC,
2024,673.0,Aguilas de Mexicali,605011,Moises Gutierrez,3B,25,24,7,5,0,4,22,6,0,19,2,0.229,83,0.297,0.434,0.731,0,0,,0,374,91,36,12,39,0,0,0.263,1.33,20.75,MXC,
2024,673.0,Aguilas de Mexicali,668843,Conner Capel,RF,28,22,10,4,2,0,23,22,1,21,0,0.226,93,0.371,0.312,0.683,2,1,33.3,4,472,116,29,13,36,0,1,0.296,0.79,,MXC,
2024,673.0,Aguilas de Mexicali,687867,Clay Dungan,2B,29,27,16,3,1,0,26,17,2,23,1,0.223,103,0.333,0.272,0.605,2,2,50.0,1,497,124,28,5,46,1,2,0.291,0.9,,MXC,
2024,673.0,Aguilas de Mexicali,592144,Wynton Bernard,CF,26,30,14,3,2,3,17,12,0,21,0,0.21,100,0.292,0.37,0.662,1,9,90.0,1,447,113,37,14,47,0,1,0.222,0.91,33.33,MXC,
2024,673.0,Aguilas de Mexicali,665745,Javier Salazar,SS,27,26,7,3,0,0,22,5,0,18,0,0.209,86,0.247,0.244,0.491,0,0,,0,342,95,21,6,35,2,2,0.273,1.08,,MXC,
2024,673.0,Aguilas de Mexicali,680716,Jonathan Ornelas,3B,8,7,2,1,0,0,11,2,0,5,1,0.192,26,0.276,0.231,0.507,0,0,,0,120,29,6,0,14,0,0,0.333,2.33,,MXC,
2024,673.0,Aguilas de Mexicali,624645,Julian Leon,C,22,3,2,2,0,0,22,4,0,8,2,0.186,43,0.286,0.233,0.519,0,0,,0,200,49,10,1,19,0,0,0.381,0.3,,MXC,
2024,673.0,Aguilas de Mexicali,606143,Alejandro Mejia,DH,22,25,9,2,0,4,26,6,1,14,1,0.165,85,0.226,0.329,0.555,0,1,100.0,5,340,93,28,15,55,0,1,0.179,1.19,21.25,MXC,
2024,673.0,Aguilas de Mexicali,642299,Alejandro Flores,C,9,6,1,1,0,0,6,3,0,2,0,0.095,21,0.208,0.143,0.351,0,0,,1,92,24,3,0,14,0,0,0.133,0.86,,MXC,
2024,673.0,Aguilas de Mexicali,510548,Jose Heberto Felix,C,16,4,2,0,0,0,2,0,0,1,2,0.05,20,0.13,0.05,0.18,0,0,,0,64,24,1,4,16,1,1,0.053,0.27,,MXC,
2024,673.0,Aguilas de Mexicali,692270,Antonio Castaneda,CF,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,,0,1,1,0,0,1,0,0,0.0,0.0,,MXC,
2024,673.0,Aguilas de Mexicali,616569,Diego Madero,3B,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,0.0,0,0,,0,6,2,0,0,2,0,0,0.0,0.0,,MXC,
2024,674.0,Charros de Jalisco,829261,Jose Angel Cecena,X,5,0,1,0,0,0,1,0,0,1,0,0.5,2,0.5,0.5,1.0,0,1,100.0,0,9,2,1,0,2,0,0,1.0,,,JAL,
2024,674.0,Charros de Jalisco,608686,Jack Mayfield,SS,23,20,13,5,0,2,15,4,0,35,1,0.372,94,0.396,0.489,0.885,2,6,75.0,0,391,101,46,11,37,0,2,0.418,0.77,47.0,JAL,
2024,674.0,Charros de Jalisco,672359,Tirso Ornelas,RF,15,18,15,4,0,3,8,11,0,18,1,0.34,53,0.462,0.585,1.047,3,5,62.5,0,245,65,31,11,16,0,0,0.357,2.0,17.67,JAL,
2024,674.0,Charros de Jalisco,641104,Carlos Mendivil,C,10,9,3,2,0,1,6,2,0,9,0,0.333,27,0.367,0.519,0.886,1,0,0.0,1,112,31,14,9,16,1,1,0.381,1.8,27.0,JAL,
2024,674.0,Charros de Jalisco,680771,Mateo Gil,3B,16,12,9,2,0,4,10,6,0,17,0,0.327,52,0.397,0.596,0.993,3,2,40.0,1,188,59,31,10,19,1,0,0.342,0.86,13.0,JAL,
2024,674.0,Charros de Jalisco,591572,Jose Aguilar,RF,24,15,14,8,0,0,12,5,0,21,1,0.309,68,0.36,0.426,0.786,2,2,50.0,3,311,76,29,10,28,1,1,0.368,0.68,,JAL,
2024,674.0,Charros de Jalisco,471906,Reynaldo Rodriguez,1B,28,20,14,3,3,6,18,8,0,32,1,0.299,107,0.347,0.551,0.898,0,4,100.0,3,462,118,59,27,48,0,2,0.306,0.51,17.83,JAL,
2024,674.0,Charros de Jalisco,681933,Michael Wielansky,2B,29,36,18,6,3,2,15,14,0,28,2,0.277,101,0.373,0.455,0.828,2,2,50.0,2,454,118,46,12,38,0,1,0.306,1.57,50.5,JAL,
2024,674.0,Charros de Jalisco,571740,Billy Hamilton,CF,29,24,22,5,2,2,28,14,0,31,0,0.267,116,0.346,0.397,0.743,1,21,95.5,0,501,131,46,8,35,1,0,0.337,0.71,58.0,JAL,
2024,674.0,Charros de Jalisco,676140,Julian Ornelas,LF,20,13,8,3,0,2,19,9,2,17,0,0.233,73,0.313,0.356,0.669,0,1,100.0,1,349,83,26,10,36,0,1,0.283,0.52,36.5,JAL,
2024,674.0,Charros de Jalisco,685771,Alfredo Hurtado,C,21,24,8,2,0,2,17,6,0,14,1,0.212,66,0.284,0.333,0.617,2,1,33.3,1,271,80,22,5,27,6,1,0.25,1.33,33.0,JAL,
2024,674.0,Charros de Jalisco,515189,Japhet Amador,DH,27,24,6,3,0,2,27,12,0,20,1,0.211,95,0.303,0.305,0.608,0,0,,2,452,109,29,11,41,0,1,0.269,0.96,47.5,JAL,
2024,674.0,Charros de Jalisco,806157,Christian Morales,RF,6,0,0,1,0,0,5,0,0,1,0,0.167,6,0.167,0.333,0.5,0,1,100.0,0,22,6,2,1,6,0,0,1.0,,,JAL,
2024,674.0,Charros de Jalisco,453575,Jose Guadalupe Chavez,2B,15,5,3,3,0,0,9,1,0,5,0,0.152,33,0.176,0.242,0.418,0,0,,1,126,34,8,1,18,0,0,0.208,0.36,,JAL,
2024,674.0,Charros de Jalisco,570799,Christian Villanueva,X,14,13,4,1,0,1,11,6,0,5,0,0.119,42,0.224,0.214,0.438,0,0,,3,198,49,9,3,24,0,1,0.129,0.93,42.0,JAL,
2024,674.0,Charros de Jalisco,593495,Daniel Castro,SS,7,8,2,0,0,0,4,0,0,1,0,0.059,17,0.059,0.059,0.118,0,1,100.0,0,78,17,1,1,5,0,0,0.077,2.0,,JAL,
2024,674.0,Charros de Jalisco,516679,Sebastian Valle,C,6,2,1,0,0,1,11,0,0,1,0,0.056,18,0.056,0.222,0.278,0,0,,0,73,18,4,2,14,0,0,0.0,0.5,18.0,JAL,
2024,674.0,Charros de Jalisco,828390,Carlos Baez,X,7,2,2,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,0.0,0,0,,0,7,2,0,0,2,0,0,0.0,2.0,,JAL,
2024,674.0,Charros de Jalisco,703007,Jesus Cordova,X,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,,0,3,1,0,0,3,0,0,,,,JAL,
2024,674.0,Charros de Jalisco,811419,Luis Carlos Martinez,SS,2,1,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,0.0,0,0,,0,11,2,0,0,2,0,0,0.0,1.0,,JAL,
2024,675.0,Caneros de los Mochis,596107,Eric Filia,LF,30,31,24,6,0,5,13,16,1,35,4,0.333,105,0.437,0.533,0.97,0,1,100.0,3,474,126,56,22,55,0,1,0.341,1.15,21.0,MOC,
2024,675.0,Caneros de los Mochis,696535,Brayan Mendoza,CF,12,10,5,2,0,0,10,3,0,10,1,0.333,30,0.412,0.4,0.812,1,1,50.0,1,135,38,12,4,10,4,0,0.5,2.5,,MOC,
2024,675.0,Caneros de los Mochis,668616,Marco Jaime,SS,30,36,11,4,1,0,13,8,0,32,3,0.296,108,0.352,0.352,0.704,1,3,75.0,4,432,124,38,8,42,2,3,0.327,1.13,,MOC,
2024,675.0,Caneros de los Mochis,703060,Alejandro Urias,C,19,5,4,1,0,1,17,6,0,13,0,0.277,47,0.345,0.362,0.707,0,0,,0,227,56,17,8,18,1,2,0.387,0.33,47.0,MOC,
2024,675.0,Caneros de los Mochis,665455,Isaac Rodriguez,2B,30,39,18,1,0,0,14,24,1,30,3,0.275,109,0.419,0.284,0.703,2,2,50.0,6,545,136,31,3,53,0,0,0.316,1.5,,MOC,
2024,675.0,Caneros de los Mochis,661270,Roel Santos,CF,20,20,14,4,0,2,16,9,0,22,2,0.259,85,0.344,0.376,0.72,4,4,50.0,2,383,97,32,6,32,1,0,0.299,0.71,42.5,MOC,
2024,675.0,Caneros de los Mochis,681909,Justin Dean,RF,30,29,18,3,0,4,24,17,0,26,2,0.25,104,0.366,0.394,0.76,2,3,60.0,2,476,124,41,12,49,1,0,0.289,1.12,26.0,MOC,
2024,675.0,Caneros de los Mochis,814656,Elias Verdugo,2B,6,2,1,0,0,0,3,0,0,2,0,0.25,8,0.25,0.25,0.5,0,0,,0,33,8,2,0,3,0,0,0.4,2.0,,MOC,
2024,675.0,Caneros de los Mochis,630111,Yasmany Tomás,1B,20,17,13,5,0,4,25,6,2,19,0,0.244,78,0.291,0.462,0.753,0,0,,0,312,86,36,20,48,0,2,0.294,0.89,19.5,MOC,
2024,675.0,Caneros de los Mochis,616613,Rodolfo Amador,3B,29,38,12,3,0,2,14,10,1,26,2,0.241,108,0.314,0.324,0.638,0,0,,1,438,123,35,17,59,1,1,0.258,1.19,54.0,MOC,
2024,675.0,Caneros de los Mochis,685474,Felix Stevens,DH,18,14,6,3,1,2,23,11,0,12,2,0.211,57,0.347,0.404,0.751,1,0,0.0,1,307,72,23,13,24,0,2,0.294,1.4,28.5,MOC,
2024,675.0,Caneros de los Mochis,802580,Roberto Castro,X,7,5,1,2,0,0,6,1,0,3,0,0.2,15,0.25,0.333,0.583,0,0,,0,64,16,5,1,11,0,0,0.333,5.0,,MOC,
2024,675.0,Caneros de los Mochis,654118,Eric Meza,X,13,7,3,1,0,1,8,0,0,4,0,0.167,24,0.16,0.333,0.493,0,0,,1,113,25,8,3,17,0,1,0.188,1.17,24.0,MOC,
2024,675.0,Caneros de los Mochis,657674,Kyle Martin,1B,16,12,7,3,0,1,20,9,0,9,2,0.153,59,0.286,0.254,0.54,0,0,,2,307,70,15,10,31,0,0,0.211,0.67,59.0,MOC,
2024,675.0,Caneros de los Mochis,587275,Alan Espinoza,C,16,18,2,0,0,1,9,2,0,7,0,0.137,51,0.17,0.196,0.366,0,0,,0,217,55,10,5,31,2,0,0.146,0.95,51.0,MOC,
2024,675.0,Caneros de los Mochis,814188,Jayson Bass,X,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,0,0,,,,MOC,
2024,675.0,Caneros de los Mochis,694034,Mario Gomez,C,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,,0,5,1,0,0,0,0,0,,,,MOC,
2024,675.0,Caneros de los Mochis,664583,Beder Gutierrez,LF,13,5,2,0,0,0,3,0,0,0,0,0.0,11,0.0,0.0,0.0,0,0,,1,45,11,0,0,7,0,0,0.0,1.67,,MOC,
2024,675.0,Caneros de los Mochis,829274,Damian Mora,X,1,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,,0,2,1,0,0,0,0,0,0.0,1.0,,MOC,
2024,675.0,Caneros de los Mochis,677977,Edgar Robles,LF,7,0,0,0,0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,,0,5,1,0,0,0,0,0,,,,MOC,
2024,676.0,Mayos de Navojoa,547375,Sergio Perez,X,16,3,4,1,0,1,8,0,0,6,1,0.333,18,0.368,0.556,0.924,0,0,,0,70,19,10,3,4,0,0,0.556,3.0,18.0,NAV,
2024,676.0,Mayos de Navojoa,680396,Joe Stewart,CF,9,9,4,1,0,0,7,4,0,12,0,0.333,36,0.4,0.361,0.761,2,1,33.3,0,128,40,13,2,10,0,0,0.414,1.13,,NAV,
2024,676.0,Mayos de Navojoa,661313,Asael Sanchez,RF,17,13,6,0,0,0,11,8,0,18,0,0.327,55,0.406,0.327,0.733,1,1,50.0,0,241,65,18,4,16,1,1,0.4,0.87,,NAV,
2024,676.0,Mayos de Navojoa,694942,Matt McDermott,SS,30,24,19,8,1,1,36,12,0,35,2,0.297,118,0.363,0.407,0.77,2,10,83.3,2,521,136,48,15,41,1,3,0.405,0.89,118.0,NAV,
2024,676.0,Mayos de Navojoa,458501,Luis Alfonso Cruz,1B,26,13,8,2,0,1,12,9,0,20,0,0.294,68,0.372,0.368,0.74,1,1,50.0,0,293,80,25,9,40,2,1,0.339,0.5,68.0,NAV,
2024,676.0,Mayos de Navojoa,656252,Bobby Bradley,1B,5,6,4,1,0,1,5,4,0,5,0,0.278,18,0.409,0.5,0.909,0,0,,1,86,22,9,3,10,0,0,0.333,3.0,18.0,NAV,
2024,676.0,Mayos de Navojoa,617918,Marco Chicuate,C,19,16,3,1,0,2,5,1,0,12,4,0.273,44,0.347,0.432,0.779,0,1,100.0,2,172,51,19,10,30,2,0,0.27,1.23,22.0,NAV,
2024,676.0,Mayos de Navojoa,634739,Miguel Guzman,RF,25,32,10,3,0,0,12,3,0,20,2,0.253,79,0.294,0.291,0.585,0,6,100.0,4,284,88,23,7,32,3,1,0.294,1.68,,NAV,
