season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,2B,3B,IBB,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2024,679.0,Venados de Mazatlan,503429,Walter Ibarra,5,3B,29,7.0,18.0,0.0,2,0.3,1.0,1.0,1.0,8.0,108,3.724,6.9,20.7,0.0,0.333,0.042,0.0,0.0,5,63,15,20,2,0,7,1,0,2,3,MAZ,0,6,2,24,6,1.0,0.0,1.0,0.0,13.9,23.8,30.0,50.0,10.0,10.0,0.1379999999999999,0.263
2024,679.0,Venados de Mazatlan,660563,Joseph Rosa,5,3B,58,13.0,22.0,1.0,0,0.393,2.0,3.0,2.0,7.0,237,4.086,17.2,27.6,0.0,0.625,0.045,1.0,0.0,3,93,21,29,0,2,13,2,0,2,7,MAZ,0,16,10,44,11,2.0,0.0,1.0,0.0,8.9,22.6,17.2,69.0,13.8,0.0,0.104,0.348
2024,679.0,Venados de Mazatlan,501317,Francisco Peguero,10,DH,17,4.0,13.0,0.0,0,0.4,0.0,0.0,2.0,6.0,60,3.529,0.0,41.2,0.0,,0.0,1.0,0.0,0,36,14,10,0,0,6,1,0,2,1,MAZ,0,7,0,17,4,0.0,0.0,0.0,0.0,23.3,38.9,10.0,70.0,20.0,0.0,0.412,0.223
2024,679.0,Venados de Mazatlan,634496,Leo German,9,RF,58,18.0,26.0,2.0,0,0.289,4.0,0.0,0.0,10.0,208,3.586,6.9,22.4,0.017,0.308,0.115,0.0,0.0,4,96,21,41,9,1,15,2,0,4,6,MAZ,1,13,4,52,12,3.0,0.0,0.0,16.7,10.1,21.9,14.6,51.2,12.2,22.0,0.155,0.292
2024,679.0,Venados de Mazatlan,543875,Niko Vasquez,3,1B,96,28.0,51.0,0.0,2,0.296,6.0,2.0,2.0,9.0,388,4.042,7.3,32.3,0.021,0.226,0.118,1.0,0.0,12,184,53,56,5,5,16,0,0,12,6,MAZ,2,31,7,85,18,4.0,0.0,0.0,16.7,13.7,28.8,21.4,39.3,30.4,8.9,0.25,0.293
2024,679.0,Venados de Mazatlan,499926,Alex Liddi,5,3B,55,8.0,22.0,1.0,5,0.162,2.0,0.0,3.0,11.0,198,3.6,5.5,25.5,0.0,0.214,0.043,2.0,0.0,14,101,33,38,2,2,14,1,0,3,2,MAZ,0,14,3,46,6,2.0,0.0,0.0,0.0,16.7,32.7,39.5,42.1,13.2,5.3,0.2,0.159
2024,679.0,Venados de Mazatlan,685736,Cristian Mejia,2,C,12,1.0,6.0,0.0,0,0.143,0.0,0.0,0.0,2.0,50,4.167,16.7,25.0,0.0,0.667,0.0,0.0,0.0,2,24,8,7,2,0,2,0,0,0,1,MAZ,0,3,2,10,1,0.0,0.0,0.0,0.0,16.0,33.3,28.6,42.9,0.0,28.6,0.0829999999999999,0.201
2024,679.0,Venados de Mazatlan,593471,Isaias Tejeda,3,1B,11,1.0,5.0,0.0,0,0.167,0.0,0.0,1.0,2.0,41,3.727,9.1,36.4,0.0,0.25,0.0,0.0,0.0,1,16,7,6,1,1,2,0,0,0,1,MAZ,0,4,1,10,1,0.0,0.0,0.0,0.0,17.1,43.8,16.7,50.0,16.7,16.7,0.273,0.153
2024,679.0,Venados de Mazatlan,689161,Carlos Arellano,X,X,19,0.0,13.0,0.0,0,0.0,0.0,0.0,1.0,3.0,80,4.211,10.5,31.6,0.0,0.333,0.0,0.0,0.0,4,42,13,11,0,1,6,0,0,0,0,MAZ,0,6,2,17,0,0.0,0.0,0.0,0.0,16.2,31.0,36.4,54.5,9.1,0.0,0.211,0.077
2024,679.0,Venados de Mazatlan,801726,Santiago Gomez,4,2B,1,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,4,4.0,0.0,100.0,0.0,,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,0,0,MAZ,0,1,0,1,0,0.0,0.0,0.0,,25.0,50.0,,,,,1.0,0.0
2024,679.0,Venados de Mazatlan,683110,Miguel Ojeda Jr.,X,X,2,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11,5.5,0.0,50.0,0.0,,0.0,0.0,0.0,0,6,2,1,0,0,1,0,0,0,0,MAZ,0,1,0,2,0,0.0,0.0,0.0,,18.2,33.3,0.0,100.0,0.0,0.0,0.5,0.0
2024,680.0,Yaquis de Obregon,614182,Jose Carlos Urena,7,LF,51,24.0,14.0,0.0,0,0.481,5.0,2.0,2.0,3.0,207,4.059,17.6,21.6,0.039,0.818,0.225,1.0,0.0,4,78,28,29,2,0,8,3,0,8,4,OBR,2,11,9,40,15,3.0,0.0,0.0,28.6,13.5,35.9,24.1,41.4,27.6,6.9,0.04,0.516
2024,680.0,Yaquis de Obregon,571685,Anthony García,10,DH,81,30.0,32.0,1.0,2,0.346,6.0,3.0,0.0,14.0,328,4.049,11.1,17.3,0.025,0.643,0.152,0.0,0.0,12,128,32,55,6,3,14,3,1,8,8,OBR,2,14,9,66,20,4.0,0.0,0.0,13.3,9.8,25.0,27.3,40.0,20.0,12.7,0.0619999999999999,0.398
2024,680.0,Yaquis de Obregon,628013,Victor Mendoza,3,1B,126,37.0,66.0,0.0,2,0.319,4.0,4.0,8.0,31.0,457,3.627,11.1,10.3,0.008,1.077,0.057,2.0,0.0,23,222,33,95,6,5,30,5,0,12,14,OBR,1,13,14,106,31,3.0,0.0,2.0,3.6,7.2,14.9,29.5,46.3,17.9,6.3,-0.008,0.348
2024,680.0,Yaquis de Obregon,642707,Allen Córdoba,8,CF,138,41.0,43.0,2.0,0,0.305,3.0,5.0,1.0,19.0,520,3.768,4.3,13.0,0.014,0.333,0.056,0.0,0.0,23,240,33,109,8,7,37,4,1,16,13,OBR,2,18,6,125,34,1.0,0.0,0.0,7.4,6.3,13.8,24.8,45.9,21.1,8.3,0.087,0.316
2024,680.0,Yaquis de Obregon,672438,Roberto Valenzuela,5,3B,129,42.0,46.0,4.0,1,0.29,9.0,4.0,4.0,31.0,541,4.194,6.2,9.3,0.008,0.667,0.107,0.0,0.0,25,241,29,105,2,5,43,6,0,15,9,OBR,1,12,8,112,30,7.0,1.0,0.0,3.2,5.4,12.0,29.5,49.5,19.0,1.9,0.031,0.329
2024,680.0,Yaquis de Obregon,468368,Gabriel Gutierrez,2,C,18,5.0,6.0,0.0,1,0.308,1.0,0.0,0.0,2.0,76,4.222,11.1,16.7,0.0,0.667,0.067,0.0,0.0,4,35,9,13,1,0,4,0,0,1,3,OBR,0,3,2,15,4,1.0,0.0,0.0,0.0,11.8,25.7,30.8,53.8,7.7,7.7,0.056,0.316
2024,680.0,Yaquis de Obregon,603877,Fernando Flores,X,X,43,11.0,21.0,1.0,0,0.265,2.0,0.0,2.0,10.0,156,3.628,7.0,11.6,0.0,0.6,0.051,1.0,0.0,5,69,15,35,3,2,16,2,0,5,2,OBR,0,5,3,39,9,2.0,0.0,0.0,0.0,9.6,21.7,20.0,51.4,20.0,8.6,0.046,0.269
2024,680.0,Yaquis de Obregon,585251,Juan Carlos Gamboa,6,SS,43,16.0,8.0,1.0,0,0.25,4.0,0.0,0.0,6.0,177,4.116,16.3,20.9,0.047,0.778,0.229,0.0,0.0,6,71,15,27,2,0,11,1,0,2,5,OBR,2,9,7,35,8,2.0,0.0,0.0,28.6,8.5,21.1,25.9,59.3,7.4,7.4,0.0459999999999999,0.378
2024,680.0,Yaquis de Obregon,679589,Fernando Villegas,9,RF,87,27.0,33.0,1.0,1,0.233,4.0,3.0,4.0,15.0,314,3.609,6.9,16.1,0.034,0.429,0.132,1.0,0.0,17,142,31,64,1,3,26,7,0,7,3,OBR,3,14,6,76,17,1.0,0.0,0.0,12.5,9.9,21.8,37.5,45.3,15.6,1.6,0.092,0.313
