season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B,pRunMult,pRunMinDen,pRunPlusDen,wOBA
2020,673.0,Aguilas de Mexicali,518530,Xorge Carrillo,C,47,36,10,11,0,1,30,19,1,48,4,0.294,163,0.38,0.38,0.76,1,0,0.0,3,730,187,62,21,74,0,1,0.353,0.72,163.0,MXC,36,33.57981877599524,116,70,0.357
2020,673.0,Aguilas de Mexicali,593495,Daniel Castro,2B,49,60,18,6,1,0,24,26,0,52,0,0.291,179,0.371,0.335,0.706,3,2,40.0,4,854,218,60,21,61,8,5,0.325,1.07,,MXC,45,34.728490790255506,132,78,0.325
2020,673.0,Aguilas de Mexicali,511428,Leo Heras,CF,26,16,13,5,0,3,21,12,2,21,0,0.288,73,0.388,0.479,0.867,1,3,75.0,1,349,85,35,6,22,0,0,0.367,1.07,24.33,MXC,13,17.21253515547633,52,31,0.383
2020,673.0,Aguilas de Mexicali,550492,Luis Juarez,DH,52,50,25,10,0,4,11,18,0,54,3,0.284,190,0.352,0.4,0.752,1,2,66.7,2,706,213,76,27,84,0,2,0.282,0.65,47.5,MXC,40,38.542857001386416,138,75,0.351
2020,673.0,Aguilas de Mexicali,676021,Luis Santos,SS,32,30,19,2,2,0,19,8,0,22,4,0.275,80,0.37,0.35,0.72,2,3,60.0,0,353,94,28,3,26,2,0,0.361,2.73,,MXC,18,15.841649831649832,58,34,0.339
2020,673.0,Aguilas de Mexicali,515768,Balbino Fuenmayor,1B,17,17,5,2,0,3,11,3,0,17,2,0.274,62,0.328,0.452,0.78,0,0,,3,221,67,28,11,38,0,0,0.292,1.0,20.67,MXC,12,12.938863141216082,45,22,0.359
2020,673.0,Aguilas de Mexicali,433636,Hector Hernandez,3B,24,19,5,3,1,0,8,9,0,19,0,0.268,71,0.337,0.338,0.675,2,0,0.0,4,276,83,24,7,33,0,3,0.288,0.68,,MXC,15,13.137535155476332,55,28,0.317
2020,673.0,Aguilas de Mexicali,591977,Felix Perez,RF,13,11,6,2,0,4,12,3,1,13,2,0.26,50,0.327,0.54,0.867,0,0,,1,209,55,27,9,30,0,0,0.265,0.79,12.5,MXC,7,11.694748465042583,37,17,0.378
2020,673.0,Aguilas de Mexicali,643192,Eric Aguilera,1B,26,26,16,5,0,3,25,10,1,23,2,0.25,92,0.333,0.402,0.735,0,0,,5,388,105,37,12,50,0,1,0.308,1.37,30.67,MXC,15,18.507092493563082,70,34,0.336
2020,673.0,Aguilas de Mexicali,628329,Rusney Castillo,RF,22,32,8,3,0,0,10,6,2,20,4,0.25,80,0.333,0.288,0.621,1,3,75.0,6,303,90,23,6,36,0,0,0.286,1.78,,MXC,17,12.822535155476332,60,28,0.288
2020,673.0,Aguilas de Mexicali,622270,Alex D. Mejia,3B,30,32,9,5,0,0,20,13,0,24,0,0.229,105,0.311,0.276,0.587,4,1,20.0,3,448,120,29,10,54,1,1,0.279,1.03,,MXC,19,16.746207169736582,82,37,0.283
2020,673.0,Aguilas de Mexicali,671246,Fabricio Macias,CF,50,57,17,10,2,1,41,7,1,37,4,0.22,168,0.264,0.321,0.585,4,6,60.0,2,627,187,54,12,67,5,3,0.279,1.39,168.0,MXC,24,25.54987918399683,134,47,0.26
2020,673.0,Aguilas de Mexicali,672951,Victor Ruiz,X,25,11,5,0,0,1,13,3,0,9,0,0.2,45,0.24,0.267,0.507,0,0,,0,188,51,12,7,27,1,2,0.242,0.73,45.0,MXC,8,6.066710239651416,38,12,0.232
2020,673.0,Aguilas de Mexicali,574831,Michael Choice,LF,49,41,27,3,0,8,44,25,0,33,9,0.193,171,0.325,0.351,0.676,0,6,100.0,3,861,206,60,23,93,0,1,0.208,0.76,21.38,MXC,22,34.579627649039416,139,67,0.326
