team,season,G,PA,AB,H,RBI,SB,2B,3B,HR,TB,HBP,SF,R,K,BB,IBB,GIDP,1B,SLG,OBP,OPS,AVG,BABIP,pRunMult,pRunMinDen,pRunPlusDen,wOBA
CUL,2023,679,2431,2136,539,238,62,92,9,52,805,41,9,258,475,203,6,55,386,0.377,0.328,0.7050000000000001,0.252,0.301,394.465123938686,1606,777,0.327
GSV,2023,753,2513,2154,500,233,44,96,8,36,720,37,14,263,489,282,10,49,360,0.334,0.329,0.663,0.232,0.282,383.09413214428173,1668,809,0.315
HER,2023,713,2570,2201,547,265,84,106,5,42,789,55,18,287,451,262,5,53,394,0.358,0.341,0.6990000000000001,0.249,0.293,412.4811396660779,1672,859,0.33
JAL,2023,726,2547,2245,597,305,58,100,10,76,945,38,21,332,497,218,8,41,411,0.421,0.338,0.759,0.266,0.308,449.1221314604821,1669,845,0.35
MAZ,2023,745,2506,2234,563,237,53,109,14,27,781,27,17,256,419,185,7,46,413,0.35,0.315,0.665,0.252,0.297,379.3481266738846,1688,768,0.308
MOC,2023,744,2513,2161,516,234,46,77,9,36,719,33,25,258,474,261,8,61,394,0.333,0.327,0.66,0.239,0.286,378.29313094763233,1670,802,0.311
MTY,2023,656,2405,2065,519,242,41,92,7,38,739,36,15,256,488,265,18,44,382,0.358,0.344,0.702,0.251,0.31,384.09713060573256,1561,802,0.328
MXC,2023,736,2544,2199,553,243,32,105,7,37,783,26,21,259,487,256,8,52,404,0.356,0.334,0.69,0.251,0.304,399.3901350504303,1667,827,0.322
NAV,2023,701,2440,2114,521,229,24,85,10,51,779,46,14,243,563,239,6,50,375,0.368,0.334,0.702,0.246,0.31,396.05712804148385,1607,800,0.33
OBR,2023,738,2584,2234,550,256,54,98,11,40,790,37,18,273,498,252,13,58,401,0.354,0.33,0.6839999999999999,0.246,0.298,401.9431343666306,1702,826,0.318
